STABBREV,STATNAM,POP1980,POP1990,POP2000,POP2010,POP2020
ID,Idaho,19427,19532,21416,22952,24655
KY,Kentucky,19049,20353,22094,23333,24662
IN,Indiana,23867,23265,25267,24643,24688
CO,Colorado,8034,12468,20555,23350,24710
AR,Arkansas,16909,19411,24046,25970,24711
MO,Missouri,25460,24370,24663,25414,24716
MO,Missouri,18532,20700,23564,24748,24722
VA,Virginia,11761,14163,16863,21717,24727
OR,Oregon,13091,14111,19182,20978,24738
TX,Texas,22732,22946,24238,24757,24754
NY,New York,21459,22810,24621,25348,24774
OK,Oklahoma,30356,28764,28439,26446,24785
CO,Colorado,13404,14088,19690,23509,24829
TN,Tennessee,15151,16754,22295,24690,24925
KY,Kentucky,13308,15737,22384,24662,24941
MO,Missouri,26458,23599,25853,25529,24962
GA,Georgia,21856,22242,25470,26015,24965
AL,Alabama,18760,19543,23988,25989,24971
IA,Iowa,24820,22813,23325,24276,24988
MS,Mississippi,24025,23278,25556,25276,25008
MI,Michigan,23019,21265,24527,24733,25032
MI,Michigan,14993,17957,23301,24164,25091
TN,Tennessee,24555,23491,27101,27815,25143
TN,Tennessee,15700,15906,20386,22248,25216
IN,Indiana,26414,25968,27061,25910,25222
AL,Alabama,24756,25417,29038,27457,25223
MI,Michigan,28349,30209,27339,25887,25237
MN,Minnesota,24991,23363,24426,24895,25262
MN,Minnesota,25207,24789,25425,25857,25269
MO,Missouri,24870,24577,24977,25607,25314
FL,Florida,14509,16919,20973,24896,25318
GA,Georgia,14748,15992,19798,23682,25319
FL,Florida,19379,19499,26938,27731,25327
VA,Virginia,,,24747,24802,25346
KS,Kansas,14782,16128,18209,21604,25348
ID,Idaho,15722,16434,20578,22623,25386
MI,Michigan,19957,21896,26023,25692,25386
NM,New Mexico,15585,18110,25016,25095,25427
GA,Georgia,13665,15326,19522,23655,25434
WV,West Virginia,27045,25178,25957,27324,25453
TN,Tennessee,23873,23377,28105,27253,25462
KS,Kansas,31343,29382,28205,27674,25493
NV,Nevada,13917,17938,23982,24877,25516
IA,Iowa,23649,22429,25308,26076,25575
MI,Michigan,20649,21398,26448,26152,25579
LA,Louisiana,34803,31938,31021,27979,25629
OK,Oklahoma,27856,26605,27210,27576,25656
SC,South Carolina,17528,18375,24595,26985,25657
IA,Iowa,24743,23388,24849,24986,25698
AR,Arkansas,17423,18221,22781,25540,25749
VA,Virginia,,,23853,23746,25750
NC,North Carolina,22469,23346,26822,27798,25751
SD,South Dakota,18339,20655,21802,24097,25768
VA,Virginia,31761,28667,30308,28897,25781
GA,Georgia,18585,19712,22997,25213,25828
CO,Colorado,16510,18672,23830,25535,25849
TN,Tennessee,22525,22422,24653,26075,25866
MN,Minnesota,28645,26984,26911,25893,25912
VT,Vermont,16767,19735,23233,24475,25945
MI,Michigan,25341,26831,27472,26168,25947
MS,Mississippi,23441,23953,27639,27503,25949
MS,Mississippi,34844,32867,34369,29450,25971
KS,Kansas,22062,21994,24784,25992,25996
KY,Kentucky,21178,21146,22927,24512,26023
MI,Michigan,19907,21468,26090,25949,26054
CO,Colorado,6850,9646,19872,23086,26062
