STABBREV,STATNAM,POP1980,POP1990,POP2000,POP2010,POP2020
ME,Maine,32941,36310,39618,39736,40607
MI,Michigan,40789,39928,44547,43114,40611
AR,Arkansas,59517,57525,51979,46480,40685
VA,Virginia,21200,26142,31584,37575,40727
WI,Wisconsin,35928,37157,40664,41949,40881
TX,Texas,28595,31370,35291,39309,40892
ND,North Dakota,22237,21129,19761,22398,40950
TN,Tennessee,32653,32992,38276,39839,40953
OH,Ohio,38223,40113,42337,42270,40999
PA,Pennsylvania,40973,41126,41373,41981,41045
OR,Oregon,32489,33301,35630,37039,41072
TN,Tennessee,21616,27140,35912,39105,41072
MN,Minnesota,23600,25921,31287,37816,41135
AL,Alabama,38676,38826,41475,41616,41311
GA,Georgia,32862,34998,38407,40118,41344
MN,Minnesota,25187,30185,34226,38451,41379
