"GEO_ID","NAME","B19083_001M","B19083_001E",
"Geography","Geographic Area Name","Margin of Error!!Gini Index","Estimate!!Gini Index",
"1600000US0660620","Richmond city, California","0.028","0.456",
"1600000US0662000","Riverside city, California","0.018","0.433",
"1600000US0662938","Roseville city, California","0.019","0.390",
"1600000US0664000","Sacramento city, California","0.018","0.462",
"1600000US0664224","Salinas city, California","0.020","0.404",
"1600000US0665000","San Bernardino city, California","0.023","0.465",
"1600000US0665042","San Buenaventura (Ventura) city, California","0.024","0.432",
"1600000US0666000","San Diego city, California","0.011","0.478",
"1600000US0667000","San Francisco city, California","0.012","0.507",
"1600000US0668000","San Jose city, California","0.009","0.434",
"1600000US0668084","San Leandro city, California","0.021","0.405",
"1600000US0668196","San Marcos city, California","0.033","0.453",
"1600000US0668252","San Mateo city, California","0.027","0.425",
"1600000US0668378","San Ramon city, California","0.024","0.343",
"1600000US0669000","Santa Ana city, California","0.023","0.399",
"1600000US0669070","Santa Barbara city, California","0.046","0.526",
"1600000US0669084","Santa Clara city, California","0.021","0.408",
"1600000US0669088","Santa Clarita city, California","0.021","0.389",
"1600000US0669196","Santa Maria city, California","0.098","0.468",
"1600000US0670000","Santa Monica city, California","0.031","0.529",
"1600000US0670098","Santa Rosa city, California","0.020","0.438",
"1600000US0672016","Simi Valley city, California","0.023","0.385",
"1600000US0673080","South Gate city, California","0.026","0.386",
"1600000US0675000","Stockton city, California","0.020","0.438",
"1600000US0677000","Sunnyvale city, California","0.022","0.390",
"1600000US0678120","Temecula city, California","0.032","0.417",
"1600000US0678582","Thousand Oaks city, California","0.025","0.448",
"1600000US0680000","Torrance city, California","0.021","0.424",
"1600000US0680238","Tracy city, California","0.077","0.427",
"1600000US0680812","Turlock city, California","0.033","0.421",
"1600000US0680854","Tustin city, California","0.027","0.438",
"1600000US0681204","Union City city, California","0.025","0.375",
"1600000US0681344","Upland city, California","0.032","0.410",
"1600000US0681554","Vacaville city, California","0.027","0.371",
"1600000US0681666","Vallejo city, California","0.027","0.430",
"1600000US0682590","Victorville city, California","0.033","0.392",
"1600000US0682954","Visalia city, California","0.024","0.440",
"1600000US0682996","Vista city, California","0.031","0.394",
"1600000US0684200","West Covina city, California","0.030","0.402",
"1600000US0684550","Westminster city, California","0.029","0.430",
"1600000US0685292","Whittier city, California","0.022","0.417",
"1600000US0686832","Yorba Linda city, California","0.049","0.461",
"1600000US0803455","Arvada city, Colorado","0.021","0.403",
"1600000US0804000","Aurora city, Colorado","0.013","0.417",
"1600000US0807850","Boulder city, Colorado","0.031","0.550",
"1600000US0812815","Centennial city, Colorado","0.023","0.416",
"1600000US0816000","Colorado Springs city, Colorado","0.014","0.447",
"1600000US0820000","Denver city, Colorado","0.014","0.515",
"1600000US0827425","Fort Collins city, Colorado","0.021","0.458",
"1600000US0832155","Greeley city, Colorado","0.041","0.456",
"1600000US0836410","Highlands Ranch CDP, Colorado","0.028","0.354",
"1600000US0843000","Lakewood city, Colorado","0.026","0.441",
"1600000US0845970","Longmont city, Colorado","0.027","0.420",
"1600000US0846465","Loveland city, Colorado","0.032","0.406",
"1600000US0862000","Pueblo city, Colorado","0.041","0.489",
"1600000US0877290","Thornton city, Colorado","0.016","0.359",
"1600000US0883835","Westminster city, Colorado","0.040","0.442",
"1600000US0908000","Bridgeport city, Connecticut","0.019","0.471",
"1600000US0918430","Danbury city, Connecticut","0.031","0.430",
"1600000US0937000","Hartford city, Connecticut","0.021","0.461",
"1600000US0950370","New Britain city, Connecticut","0.024","0.423",
"1600000US0952000","New Haven city, Connecticut","0.038","0.527",
"1600000US0955990","Norwalk city, Connecticut","0.030","0.473",
"1600000US0973000","Stamford city, Connecticut","0.025","0.504",
"1600000US0980000","Waterbury city, Connecticut","0.058","0.485",
"1600000US1077580","Wilmington city, Delaware","0.038","0.556",
"1600000US1150000","Washington city, District of Columbia","0.011","0.532",
"1600000US1200410","Alafaya CDP, Florida","0.024","0.396",
"1600000US1207300","Boca Raton city, Florida","0.030","0.515",
"1600000US1207875","Boynton Beach city, Florida","0.034","0.434",
"1600000US1208150","Brandon CDP, Florida","0.020","0.364",
"1600000US1210275","Cape Coral city, Florida","0.021","0.416",
"1600000US1212875","Clearwater city, Florida","0.030","0.471",
"1600000US1214400","Coral Springs city, Florida","0.034","0.455",
"1600000US1216475","Davie town, Florida","0.027","0.429",
"1600000US1216725","Deerfield Beach city, Florida","0.043","0.501",
"1600000US1217200","Deltona city, Florida","0.033","0.400",
"1600000US1224000","Fort Lauderdale city, Florida","0.023","0.518",
"1600000US1224125","Fort Myers city, Florida","0.034","0.479",
"1600000US1225175","Gainesville city, Florida","0.031","0.533",
"1600000US1230000","Hialeah city, Florida","0.021","0.443",
"1600000US1232000","Hollywood city, Florida","0.024","0.463",
"1600000US1235000","Jacksonville city, Florida","0.027","0.459",
"1600000US1236100","Kendall CDP, Florida","0.029","0.495",
"1600000US1238250","Lakeland city, Florida","0.079","0.481",
"1600000US1239425","Largo city, Florida","0.045","0.444",
"1600000US1239550","Lauderhill city, Florida","0.024","0.418",
"1600000US1239925","Lehigh Acres CDP, Florida","0.039","0.377",
"1600000US1243975","Melbourne city, Florida","0.050","0.458",
"1600000US1245000","Miami city, Florida","0.027","0.550",
"1600000US1245025","Miami Beach city, Florida","0.040","0.584",
"1600000US1245060","Miami Gardens city, Florida","0.026","0.407",
"1600000US1245975","Miramar city, Florida","0.037","0.404",
"1600000US1253000","Orlando city, Florida","0.028","0.487",
"1600000US1254000","Palm Bay city, Florida","0.025","0.404",
"1600000US1254200","Palm Coast city, Florida","0.038","0.435",
"1600000US1255775","Pembroke Pines city, Florida","0.028","0.428",
"1600000US1257425","Plantation city, Florida","0.018","0.422",
"1600000US1258050","Pompano Beach city, Florida","0.039","0.502",
"1600000US1258715","Port St. Lucie city, Florida","0.080","0.464",
"1600000US1260950","Riverview CDP, Florida","0.052","0.398",
"1600000US1263000","St. Petersburg city, Florida","0.021","0.474",
"1600000US1268350","Spring Hill CDP, Florida","0.022","0.393",
"1600000US1269700","Sunrise city, Florida","0.026","0.407",
"1600000US1270600","Tallahassee city, Florida","0.039","0.558",
"1600000US1271000","Tampa city, Florida","0.020","0.539",
"1600000US1272145","Town 'n' Country CDP, Florida","0.060","0.421",
"1600000US1276582","Weston city, Florida","0.048","0.482",
"1600000US1276600","West Palm Beach city, Florida","0.039","0.503",
"1600000US1301052","Albany city, Georgia","0.039","0.538",
"1600000US1303440","Athens-Clarke County unified government (balance), Georgia","0.034","0.537",
"1600000US1304000","Atlanta city, Georgia","0.014","0.570",
"1600000US1304204","Augusta-Richmond County consolidated government (balance), Georgia","0.021","0.458",
"1600000US1319000","Columbus city, Georgia","0.029","0.512",
"1600000US1342425","Johns Creek city, Georgia","0.030","0.394",
"1600000US1349000","Macon city, Georgia","0.032","0.515",
"1600000US1367284","Roswell city, Georgia","0.028","0.453",
"1600000US1368516","Sandy Springs city, Georgia","0.026","0.532",
"1600000US1369000","Savannah city, Georgia","0.024","0.456",
"1600000US1380508","Warner Robins city, Georgia","0.024","0.376",
"1600000US1571550","Urban Honolulu CDP, Hawaii","0.014","0.450",
"1600000US1608830","Boise City city, Idaho","0.019","0.465",
"1600000US1652120","Meridian city, Idaho","0.038","0.401",
"1600000US1656260","Nampa city, Idaho","0.067","0.431",
"1600000US1702154","Arlington Heights village, Illinois","0.027","0.427",
"1600000US1703012","Aurora city, Illinois","0.018","0.413",
"1600000US1706613","Bloomington city, Illinois","0.039","0.470",
"1600000US1707133","Bolingbrook village, Illinois","0.025","0.337",
"1600000US1712385","Champaign city, Illinois","0.040","0.527",
"1600000US1714000","Chicago city, Illinois","0.008","0.510",
"1600000US1714351","Cicero town, Illinois","0.029","0.379",
"1600000US1718823","Decatur city, Illinois","0.036","0.469",
"1600000US1723074","Elgin city, Illinois","0.020","0.380",
"1600000US1724582","Evanston city, Illinois","0.026","0.534",
"1600000US1738570","Joliet city, Illinois","0.018","0.384",
"1600000US1751622","Naperville city, Illinois","0.035","0.416",
"1600000US1757225","Palatine village, Illinois","0.026","0.395",
"1600000US1759000","Peoria city, Illinois","0.032","0.499",
"1600000US1765000","Rockford city, Illinois","0.025","0.472",
"1600000US1768003","Schaumburg village, Illinois","0.023","0.396",
"1600000US1770122","Skokie village, Illinois","0.028","0.474",
"1600000US1772000","Springfield city, Illinois","0.028","0.473",
"1600000US1779293","Waukegan city, Illinois","0.029","0.423",
"1600000US1805860","Bloomington city, Indiana","0.046","0.587",
"1600000US1810342","Carmel city, Indiana","0.031","0.455",
"1600000US1822000","Evansville city, Indiana","0.054","0.459",
"1600000US1823278","Fishers town, Indiana","0.025","0.364",
"1600000US1825000","Fort Wayne city, Indiana","0.021","0.448",
"1600000US1827000","Gary city, Indiana","0.024","0.449",
"1600000US1831000","Hammond city, Indiana","0.027","0.409",
"1600000US1836003","Indianapolis city (balance), Indiana","0.012","0.468",
"1600000US1840788","Lafayette city, Indiana","0.034","0.454",
"1600000US1851876","Muncie city, Indiana","0.025","0.436",
"1600000US1871000","South Bend city, Indiana","0.033","0.455",
"1600000US1912000","Cedar Rapids city, Iowa","0.023","0.395",
"1600000US1919000","Davenport city, Iowa","0.051","0.489",
"1600000US1921000","Des Moines city, Iowa","0.021","0.439",
