"GEO_ID","NAME","B19083_001M","B19083_001E",
"Geography","Geographic Area Name","Margin of Error!!Gini Index","Estimate!!Gini Index",
"1600000US4819000","Dallas city, Texas","0.010","0.519",
"1600000US4819972","Denton city, Texas","0.027","0.465",
"1600000US4822660","Edinburg city, Texas","0.037","0.476",
"1600000US4824000","El Paso city, Texas","0.014","0.474",
"1600000US4826232","Flower Mound town, Texas","0.035","0.378",
"1600000US4827000","Fort Worth city, Texas","0.012","0.453",
"1600000US4827684","Frisco city, Texas","0.035","0.394",
"1600000US4829000","Garland city, Texas","0.021","0.379",
"1600000US4830464","Grand Prairie city, Texas","0.025","0.414",
"1600000US4832372","Harlingen city, Texas","0.060","0.504",
"1600000US4835000","Houston city, Texas","0.010","0.511",
"1600000US4837000","Irving city, Texas","0.020","0.463",
"1600000US4839148","Killeen city, Texas","0.020","0.353",
"1600000US4841464","Laredo city, Texas","0.026","0.478",
"1600000US4841980","League City city, Texas","0.023","0.348",
"1600000US4842508","Lewisville city, Texas","0.064","0.414",
"1600000US4843888","Longview city, Texas","0.064","0.500",
"1600000US4845000","Lubbock city, Texas","0.020","0.476",
"1600000US4845384","McAllen city, Texas","0.035","0.511",
"1600000US4845744","McKinney city, Texas","0.032","0.421",
"1600000US4847892","Mesquite city, Texas","0.031","0.406",
"1600000US4848072","Midland city, Texas","0.037","0.518",
"1600000US4848768","Mission city, Texas","0.032","0.475",
"1600000US4848804","Missouri City city, Texas","0.031","0.370",
"1600000US4852356","North Richland Hills city, Texas","0.032","0.407",
"1600000US4853388","Odessa city, Texas","0.027","0.453",
"1600000US4856000","Pasadena city, Texas","0.019","0.446",
"1600000US4856348","Pearland city, Texas","0.033","0.367",
"1600000US4857200","Pharr city, Texas","0.037","0.468",
"1600000US4858016","Plano city, Texas","0.016","0.437",
"1600000US4861796","Richardson city, Texas","0.026","0.422",
"1600000US4863500","Round Rock city, Texas","0.037","0.369",
"1600000US4864472","San Angelo city, Texas","0.029","0.464",
"1600000US4865000","San Antonio city, Texas","0.009","0.460",
"1600000US4870808","Sugar Land city, Texas","0.022","0.402",
"1600000US4872176","Temple city, Texas","0.059","0.493",
"1600000US4872656","The Woodlands CDP, Texas","0.027","0.466",
"1600000US4874144","Tyler city, Texas","0.037","0.523",
"1600000US4876000","Waco city, Texas","0.022","0.473",
"1600000US4879000","Wichita Falls city, Texas","0.036","0.460",
"1600000US4943660","Layton city, Utah","0.037","0.410",
"1600000US4955980","Ogden city, Utah","0.053","0.475",
"1600000US4957300","Orem city, Utah","0.025","0.409",
"1600000US4962470","Provo city, Utah","0.070","0.532",
"1600000US4965330","St. George city, Utah","0.043","0.447",
"1600000US4967000","Salt Lake City city, Utah","0.018","0.484",
"1600000US4967440","Sandy city, Utah","0.034","0.395",
"1600000US4982950","West Jordan city, Utah","0.024","0.319",
"1600000US4983470","West Valley City city, Utah","0.057","0.379",
"1600000US5101000","Alexandria city, Virginia","0.021","0.465",
"1600000US5103000","Arlington CDP, Virginia","0.018","0.418",
"1600000US5114440","Centreville CDP, Virginia","0.027","0.371",
"1600000US5116000","Chesapeake city, Virginia","0.022","0.392",
"1600000US5121088","Dale City CDP, Virginia","0.030","0.358",
"1600000US5135000","Hampton city, Virginia","0.020","0.384",
"1600000US5147672","Lynchburg city, Virginia","0.037","0.494",
"1600000US5156000","Newport News city, Virginia","0.022","0.422",
"1600000US5157000","Norfolk city, Virginia","0.030","0.453",
"1600000US5164000","Portsmouth city, Virginia","0.021","0.402",
"1600000US5167000","Richmond city, Virginia","0.037","0.533",
"1600000US5168000","Roanoke city, Virginia","0.029","0.441",
"1600000US5176432","Suffolk city, Virginia","0.030","0.397",
"1600000US5182000","Virginia Beach city, Virginia","0.014","0.405",
"1600000US5303180","Auburn city, Washington","0.024","0.392",
"1600000US5305210","Bellevue city, Washington","0.023","0.450",
"1600000US5305280","Bellingham city, Washington","0.028","0.443",
"1600000US5322640","Everett city, Washington","0.021","0.416",
"1600000US5323515","Federal Way city, Washington","0.029","0.418",
"1600000US5335275","Kennewick city, Washington","0.022","0.408",
"1600000US5335415","Kent city, Washington","0.018","0.409",
"1600000US5357745","Renton city, Washington","0.022","0.382",
"1600000US5363000","Seattle city, Washington","0.013","0.488",
"1600000US5367000","Spokane city, Washington","0.015","0.439",
"1600000US5367167","Spokane Valley city, Washington","0.021","0.375",
"1600000US5370000","Tacoma city, Washington","0.016","0.426",
"1600000US5374060","Vancouver city, Washington","0.043","0.449",
"1600000US5380010","Yakima city, Washington","0.028","0.475",
"1600000US5502375","Appleton city, Wisconsin","0.040","0.423",
"1600000US5522300","Eau Claire city, Wisconsin","0.046","0.474",
"1600000US5531000","Green Bay city, Wisconsin","0.025","0.426",
"1600000US5539225","Kenosha city, Wisconsin","0.023","0.431",
"1600000US5548000","Madison city, Wisconsin","0.017","0.466",
"1600000US5553000","Milwaukee city, Wisconsin","0.011","0.452",
"1600000US5560500","Oshkosh city, Wisconsin","0.042","0.419",
"1600000US5566000","Racine city, Wisconsin","0.028","0.440",
"1600000US5584250","Waukesha city, Wisconsin","0.024","0.383",
"1600000US7206593","Bayamón zona urbana, Puerto Rico","0.016","0.470",
"1600000US7210334","Caguas zona urbana, Puerto Rico","0.024","0.486",
"1600000US7214290","Carolina zona urbana, Puerto Rico","0.050","0.497",
"1600000US7232522","Guaynabo zona urbana, Puerto Rico","0.032","0.534",
"1600000US7252431","Mayagüez zona urbana, Puerto Rico","0.040","0.622",
"1600000US7263820","Ponce zona urbana, Puerto Rico","0.030","0.570",
"1600000US7276770","San Juan zona urbana, Puerto Rico","0.018","0.590",
