"GEO_ID","NAME","B19083_001E","B19083_001M",
"Geography","Geographic Area Name","Estimate!!Gini Index","Margin of Error!!Gini Index",
"1600000US0103076","Auburn city, Alabama","0.5932","0.0447",
"1600000US0107000","Birmingham city, Alabama","0.5026","0.0224",
"1600000US0121184","Dothan city, Alabama","0.4871","0.0207",
"1600000US0135896","Hoover city, Alabama","0.4627","0.0283",
"1600000US0137000","Huntsville city, Alabama","0.4966","0.0183",
"1600000US0150000","Mobile city, Alabama","0.5201","0.0286",
"1600000US0151000","Montgomery city, Alabama","0.5154","0.0253",
"1600000US0177256","Tuscaloosa city, Alabama","0.5446","0.0388",
"1600000US0203000","Anchorage municipality, Alaska","0.4219","0.0161",
"1600000US0404720","Avondale city, Arizona","0.3893","0.0243",
"1600000US0407940","Buckeye city, Arizona","0.3847","0.0450",
"1600000US0410670","Casas Adobes CDP, Arizona","0.4079","0.0258",
"1600000US0412000","Chandler city, Arizona","0.4300","0.0198",
"1600000US0423620","Flagstaff city, Arizona","0.4729","0.0317",
"1600000US0427400","Gilbert town, Arizona","0.3729","0.0175",
"1600000US0427820","Glendale city, Arizona","0.4356","0.0307",
"1600000US0428380","Goodyear city, Arizona","0.3776","0.0405",
"1600000US0446000","Mesa city, Arizona","0.4371","0.0169",
"1600000US0454050","Peoria city, Arizona","0.4306","0.0222",
"1600000US0455000","Phoenix city, Arizona","0.4596","0.0071",
"1600000US0464210","San Tan Valley CDP, Arizona","0.3332","0.0257",
"1600000US0465000","Scottsdale city, Arizona","0.5028","0.0182",
"1600000US0471510","Surprise city, Arizona","0.3786","0.0224",
"1600000US0473000","Tempe city, Arizona","0.4532","0.0222",
"1600000US0477000","Tucson city, Arizona","0.4610","0.0142",
"1600000US0485540","Yuma city, Arizona","0.4353","0.0265",
"1600000US0515190","Conway city, Arkansas","0.5207","0.0526",
"1600000US0523290","Fayetteville city, Arkansas","0.5251","0.0393",
"1600000US0524550","Fort Smith city, Arkansas","0.4939","0.0448",
"1600000US0535710","Jonesboro city, Arkansas","0.4863","0.0437",
"1600000US0541000","Little Rock city, Arkansas","0.5503","0.0236",
"1600000US0550450","North Little Rock city, Arkansas","0.4716","0.0488",
"1600000US0560410","Rogers city, Arkansas","0.5154","0.0381",
"1600000US0566080","Springdale city, Arkansas","0.4580","0.0501",
"1600000US0600562","Alameda city, California","0.4387","0.0249",
"1600000US0600884","Alhambra city, California","0.4624","0.0295",
"1600000US0602000","Anaheim city, California","0.4287","0.0155",
"1600000US0602252","Antioch city, California","0.4019","0.0270",
"1600000US0602364","Apple Valley town, California","0.4249","0.0293",
"1600000US0602553","Arden-Arcade CDP, California","0.5284","0.0379",
"1600000US0603526","Bakersfield city, California","0.4594","0.0151",
"1600000US0603666","Baldwin Park city, California","0.3868","0.0273",
"1600000US0604982","Bellflower city, California","0.4252","0.0466",
"1600000US0606000","Berkeley city, California","0.5427","0.0276",
"1600000US0608786","Buena Park city, California","0.4653","0.0602",
"1600000US0608954","Burbank city, California","0.5015","0.0353",
"1600000US0610046","Camarillo city, California","0.4233","0.0362",
"1600000US0611194","Carlsbad city, California","0.4682","0.0296",
"1600000US0611390","Carmichael CDP, California","0.4869","0.0315",
"1600000US0611530","Carson city, California","0.4270","0.0396",
"1600000US0611964","Castro Valley CDP, California","0.4247","0.0355",
"1600000US0613014","Chico city, California","0.4880","0.0286",
"1600000US0613210","Chino city, California","0.3803","0.0229",
"1600000US0613214","Chino Hills city, California","0.3912","0.0315",
"1600000US0613392","Chula Vista city, California","0.4024","0.0228",
"1600000US0613588","Citrus Heights city, California","0.4250","0.0353",
"1600000US0614218","Clovis city, California","0.4216","0.0282",
"1600000US0615044","Compton city, California","0.4335","0.0271",
"1600000US0616000","Concord city, California","0.4387","0.0244",
"1600000US0616350","Corona city, California","0.4145","0.0279",
"1600000US0616532","Costa Mesa city, California","0.4665","0.0361",
"1600000US0617918","Daly City city, California","0.4355","0.0305",
"1600000US0618100","Davis city, California","0.5138","0.0242",
"1600000US0619766","Downey city, California","0.3856","0.0290",
"1600000US0620802","East Los Angeles CDP, California","0.4263","0.0238",
"1600000US0621712","El Cajon city, California","0.4691","0.0330",
"1600000US0622020","Elk Grove city, California","0.4062","0.0275",
"1600000US0622230","El Monte city, California","0.4273","0.0305",
"1600000US0622804","Escondido city, California","0.4649","0.0268",
"1600000US0623182","Fairfield city, California","0.3943","0.0229",
"1600000US0624477","Florence-Graham CDP, California","0.4270","0.0350",
"1600000US0624638","Folsom city, California","0.3921","0.0263",
"1600000US0624680","Fontana city, California","0.4066","0.0192",
"1600000US0626000","Fremont city, California","0.3969","0.0170",
"1600000US0627000","Fresno city, California","0.4757","0.0166",
"1600000US0628000","Fullerton city, California","0.4769","0.0273",
"1600000US0629000","Garden Grove city, California","0.4216","0.0231",
"1600000US0630000","Glendale city, California","0.4966","0.0205",
"1600000US0632548","Hawthorne city, California","0.3860","0.0276",
"1600000US0633000","Hayward city, California","0.4043","0.0207",
"1600000US0633182","Hemet city, California","0.4376","0.0283",
"1600000US0633434","Hesperia city, California","0.4173","0.0279",
"1600000US0636000","Huntington Beach city, California","0.4463","0.0205",
"1600000US0636448","Indio city, California","0.4550","0.0257",
"1600000US0636546","Inglewood city, California","0.4372","0.0397",
"1600000US0636770","Irvine city, California","0.4820","0.0208",
"1600000US0637692","Jurupa Valley city, California","0.3993","0.0214",
"1600000US0639248","Laguna Niguel city, California","0.4887","0.0456",
"1600000US0639486","Lake Elsinore city, California","0.4129","0.0826",
"1600000US0639496","Lake Forest city, California","0.4451","0.0449",
