"GEO_ID","NAME","B19083_001E","B19083_001M",
"Geography","Geographic Area Name","Estimate!!Gini Index","Margin of Error!!Gini Index",
"1600000US0107000","Birmingham city, Alabama","0.5151","0.0228",
"1600000US0121184","Dothan city, Alabama","0.5080","0.0256",
"1600000US0135896","Hoover city, Alabama","0.4731","0.0268",
"1600000US0137000","Huntsville city, Alabama","0.5117","0.0206",
"1600000US0150000","Mobile city, Alabama","0.5085","0.0202",
"1600000US0151000","Montgomery city, Alabama","0.5081","0.0306",
"1600000US0177256","Tuscaloosa city, Alabama","0.5339","0.0366",
"1600000US0203000","Anchorage municipality, Alaska","0.4018","0.0179",
"1600000US0404720","Avondale city, Arizona","0.3987","0.0349",
"1600000US0410670","Casas Adobes CDP, Arizona","0.4241","0.0291",
"1600000US0412000","Chandler city, Arizona","0.4118","0.0146",
"1600000US0423620","Flagstaff city, Arizona","0.4673","0.0451",
"1600000US0427400","Gilbert town, Arizona","0.3805","0.0193",
"1600000US0427820","Glendale city, Arizona","0.4538","0.0185",
"1600000US0428380","Goodyear city, Arizona","0.3690","0.0406",
"1600000US0446000","Mesa city, Arizona","0.4566","0.0163",
"1600000US0454050","Peoria city, Arizona","0.4009","0.0210",
"1600000US0455000","Phoenix city, Arizona","0.4796","0.0111",
"1600000US0464210","San Tan Valley CDP, Arizona","0.4063","0.0340",
"1600000US0465000","Scottsdale city, Arizona","0.5086","0.0181",
"1600000US0471510","Surprise city, Arizona","0.3708","0.0202",
"1600000US0473000","Tempe city, Arizona","0.4747","0.0227",
"1600000US0477000","Tucson city, Arizona","0.4706","0.0144",
"1600000US0485540","Yuma city, Arizona","0.4430","0.0248",
"1600000US0515190","Conway city, Arkansas","0.5029","0.0529",
"1600000US0523290","Fayetteville city, Arkansas","0.5588","0.0303",
"1600000US0524550","Fort Smith city, Arkansas","0.4798","0.0399",
"1600000US0535710","Jonesboro city, Arkansas","0.5371","0.0695",
"1600000US0541000","Little Rock city, Arkansas","0.5391","0.0234",
"1600000US0550450","North Little Rock city, Arkansas","0.4822","0.0376",
"1600000US0560410","Rogers city, Arkansas","0.4918","0.0309",
"1600000US0566080","Springdale city, Arkansas","0.4630","0.0371",
"1600000US0600562","Alameda city, California","0.4091","0.0231",
"1600000US0600884","Alhambra city, California","0.4565","0.0387",
"1600000US0602000","Anaheim city, California","0.4307","0.0203",
"1600000US0602252","Antioch city, California","0.4102","0.0304",
"1600000US0602364","Apple Valley town, California","0.4150","0.0373",
"1600000US0602553","Arden-Arcade CDP, California","0.5551","0.0343",
"1600000US0603526","Bakersfield city, California","0.4499","0.0173",
"1600000US0603666","Baldwin Park city, California","0.3581","0.0315",
"1600000US0604982","Bellflower city, California","0.4380","0.0442",
"1600000US0606000","Berkeley city, California","0.5311","0.0217",
"1600000US0608786","Buena Park city, California","0.3982","0.0338",
"1600000US0608954","Burbank city, California","0.4633","0.0240",
"1600000US0610046","Camarillo city, California","0.4347","0.0265",
"1600000US0611194","Carlsbad city, California","0.4335","0.0290",
"1600000US0611390","Carmichael CDP, California","0.4835","0.0368",
"1600000US0611530","Carson city, California","0.3790","0.0261",
"1600000US0611964","Castro Valley CDP, California","0.4262","0.0232",
"1600000US0613014","Chico city, California","0.5281","0.0338",
"1600000US0613210","Chino city, California","0.4011","0.0296",
"1600000US0613214","Chino Hills city, California","0.3938","0.0360",
"1600000US0613392","Chula Vista city, California","0.4260","0.0266",
"1600000US0613588","Citrus Heights city, California","0.3610","0.0203",
"1600000US0614218","Clovis city, California","0.4561","0.0375",
"1600000US0615044","Compton city, California","0.4251","0.0263",
"1600000US0616000","Concord city, California","0.4200","0.0238",
"1600000US0616350","Corona city, California","0.4302","0.0206",
"1600000US0616532","Costa Mesa city, California","0.4429","0.0285",
"1600000US0617918","Daly City city, California","0.3968","0.0274",
"1600000US0618100","Davis city, California","0.5136","0.0229",
"1600000US0619766","Downey city, California","0.4253","0.0320",
"1600000US0620802","East Los Angeles CDP, California","0.4102","0.0245",
"1600000US0621712","El Cajon city, California","0.4539","0.0318",
"1600000US0622020","Elk Grove city, California","0.4236","0.0306",
"1600000US0622230","El Monte city, California","0.4381","0.0264",
"1600000US0622804","Escondido city, California","0.4379","0.0217",
"1600000US0623182","Fairfield city, California","0.4677","0.0633",
"1600000US0624477","Florence-Graham CDP, California","0.4293","0.0271",
"1600000US0624638","Folsom city, California","0.4111","0.0301",
"1600000US0624680","Fontana city, California","0.3873","0.0199",
"1600000US0626000","Fremont city, California","0.3903","0.0159",
"1600000US0627000","Fresno city, California","0.5059","0.0158",
"1600000US0628000","Fullerton city, California","0.4609","0.0232",
"1600000US0629000","Garden Grove city, California","0.4264","0.0219",
"1600000US0630000","Glendale city, California","0.5019","0.0197",
"1600000US0632548","Hawthorne city, California","0.4325","0.0275",
"1600000US0633000","Hayward city, California","0.4161","0.0218",
"1600000US0633182","Hemet city, California","0.4499","0.0377",
"1600000US0633434","Hesperia city, California","0.4179","0.0323",
"1600000US0636000","Huntington Beach city, California","0.4436","0.0225",
"1600000US0636448","Indio city, California","0.5059","0.0257",
"1600000US0636546","Inglewood city, California","0.4576","0.0308",
"1600000US0636770","Irvine city, California","0.5010","0.0366",
"1600000US0637692","Jurupa Valley city, California","0.4100","0.0249",
"1600000US0639248","Laguna Niguel city, California","0.4324","0.0282",
"1600000US0639496","Lake Forest city, California","0.4013","0.0241",
"1600000US0639892","Lakewood city, California","0.3878","0.0308",
"1600000US0640130","Lancaster city, California","0.4715","0.0223",
"1600000US0641992","Livermore city, California","0.4028","0.0282",
"1600000US0643000","Long Beach city, California","0.4678","0.0130",
"1600000US0644000","Los Angeles city, California","0.5335","0.0051",
"1600000US0644574","Lynwood city, California","0.4279","0.0462",
"1600000US0645484","Manteca city, California","0.4001","0.0303",
"1600000US0646842","Menifee city, California","0.4326","0.0337",
"1600000US0646898","Merced city, California","0.4942","0.0374",
"1600000US0647766","Milpitas city, California","0.3797","0.0331",
"1600000US0648256","Mission Viejo city, California","0.3910","0.0331",
"1600000US0648354","Modesto city, California","0.4313","0.0237",
"1600000US0649270","Moreno Valley city, California","0.3855","0.0185",
"1600000US0649670","Mountain View city, California","0.4731","0.0296",
"1600000US0650076","Murrieta city, California","0.4287","0.0388",
"1600000US0650258","Napa city, California","0.4469","0.0235",
"1600000US0651182","Newport Beach city, California","0.5484","0.0303",
"1600000US0652526","Norwalk city, California","0.4128","0.0297",
"1600000US0653000","Oakland city, California","0.5087","0.0138",
"1600000US0653322","Oceanside city, California","0.4138","0.0206",
"1600000US0653896","Ontario city, California","0.4150","0.0289",
"1600000US0653980","Orange city, California","0.4455","0.0285",
"1600000US0654652","Oxnard city, California","0.4044","0.0217",
"1600000US0655156","Palmdale city, California","0.4339","0.0232",
"1600000US0655282","Palo Alto city, California","0.5123","0.0276",
"1600000US0656000","Pasadena city, California","0.5119","0.0268",
"1600000US0656700","Perris city, California","0.4074","0.0422",
