"GEO_ID","NAME","B19083_001E","B19083_001M",
"Geography","Geographic Area Name","Estimate!!Gini Index","Margin of Error!!Gini Index",
"1600000US0107000","Birmingham city, Alabama","0.4994","0.0182",
"1600000US0121184","Dothan city, Alabama","0.5047","0.0214",
"1600000US0135896","Hoover city, Alabama","0.4472","0.0436",
"1600000US0137000","Huntsville city, Alabama","0.4956","0.0161",
"1600000US0150000","Mobile city, Alabama","0.5270","0.0224",
"1600000US0151000","Montgomery city, Alabama","0.4870","0.0194",
"1600000US0177256","Tuscaloosa city, Alabama","0.4932","0.0280",
"1600000US0203000","Anchorage municipality, Alaska","0.4175","0.0182",
"1600000US0404720","Avondale city, Arizona","0.4124","0.0410",
"1600000US0407940","Buckeye city, Arizona","0.3440","0.0394",
"1600000US0410670","Casas Adobes CDP, Arizona","0.3993","0.0244",
"1600000US0412000","Chandler city, Arizona","0.4131","0.0131",
"1600000US0423620","Flagstaff city, Arizona","0.4399","0.0301",
"1600000US0427400","Gilbert town, Arizona","0.3954","0.0203",
"1600000US0427820","Glendale city, Arizona","0.4813","0.0388",
"1600000US0428380","Goodyear city, Arizona","0.4025","0.0470",
"1600000US0446000","Mesa city, Arizona","0.4496","0.0147",
"1600000US0454050","Peoria city, Arizona","0.4366","0.0254",
"1600000US0455000","Phoenix city, Arizona","0.4579","0.0070",
"1600000US0464210","San Tan Valley CDP, Arizona","0.3935","0.0394",
"1600000US0465000","Scottsdale city, Arizona","0.5007","0.0189",
"1600000US0471510","Surprise city, Arizona","0.3934","0.0341",
"1600000US0473000","Tempe city, Arizona","0.4679","0.0180",
"1600000US0477000","Tucson city, Arizona","0.4551","0.0090",
"1600000US0485540","Yuma city, Arizona","0.4400","0.0281",
"1600000US0515190","Conway city, Arkansas","0.4876","0.0371",
"1600000US0523290","Fayetteville city, Arkansas","0.5099","0.0314",
"1600000US0524550","Fort Smith city, Arkansas","0.4695","0.0391",
"1600000US0535710","Jonesboro city, Arkansas","0.4772","0.0329",
"1600000US0541000","Little Rock city, Arkansas","0.5066","0.0255",
"1600000US0550450","North Little Rock city, Arkansas","0.5002","0.0624",
"1600000US0560410","Rogers city, Arkansas","0.4774","0.0446",
"1600000US0566080","Springdale city, Arkansas","0.3950","0.0403",
"1600000US0600562","Alameda city, California","0.4530","0.0329",
"1600000US0600884","Alhambra city, California","0.4709","0.0381",
"1600000US0602000","Anaheim city, California","0.4419","0.0190",
"1600000US0602252","Antioch city, California","0.4352","0.0279",
