"GEO_ID","NAME","B19083_001E","B19083_001M",
"Geography","Geographic Area Name","Estimate!!Gini Index","Margin of Error!!Gini Index",
"1600000US0107000","Birmingham city, Alabama","0.4826","0.0156",
"1600000US0121184","Dothan city, Alabama","0.5049","0.0191",
"1600000US0135896","Hoover city, Alabama","0.4216","0.0239",
"1600000US0137000","Huntsville city, Alabama","0.5121","0.0236",
"1600000US0150000","Mobile city, Alabama","0.5016","0.0202",
"1600000US0151000","Montgomery city, Alabama","0.4929","0.0227",
"1600000US0177256","Tuscaloosa city, Alabama","0.5162","0.0291",
"1600000US0203000","Anchorage municipality, Alaska","0.4525","0.0223",
"1600000US0404720","Avondale city, Arizona","0.3738","0.0270",
"1600000US0410670","Casas Adobes CDP, Arizona","0.3867","0.0378",
"1600000US0412000","Chandler city, Arizona","0.4327","0.0242",
"1600000US0423620","Flagstaff city, Arizona","0.4814","0.0382",
"1600000US0427400","Gilbert town, Arizona","0.3648","0.0159",
"1600000US0427820","Glendale city, Arizona","0.4603","0.0205",
"1600000US0428380","Goodyear city, Arizona","0.4009","0.0322",
"1600000US0446000","Mesa city, Arizona","0.4524","0.0154",
"1600000US0454050","Peoria city, Arizona","0.4169","0.0221",
"1600000US0455000","Phoenix city, Arizona","0.4893","0.0091",
"1600000US0464210","San Tan Valley CDP, Arizona","0.3695","0.0341",
"1600000US0465000","Scottsdale city, Arizona","0.5140","0.0170",
"1600000US0471510","Surprise city, Arizona","0.3407","0.0162",
"1600000US0473000","Tempe city, Arizona","0.4627","0.0189",
"1600000US0477000","Tucson city, Arizona","0.4566","0.0152",
"1600000US0485540","Yuma city, Arizona","0.4480","0.0234",
"1600000US0523290","Fayetteville city, Arkansas","0.5283","0.0424",
"1600000US0524550","Fort Smith city, Arkansas","0.5170","0.0431",
"1600000US0535710","Jonesboro city, Arkansas","0.4620","0.0268",
"1600000US0541000","Little Rock city, Arkansas","0.5393","0.0252",
"1600000US0550450","North Little Rock city, Arkansas","0.5268","0.0453",
"1600000US0566080","Springdale city, Arkansas","0.4349","0.0478",
"1600000US0600562","Alameda city, California","0.4554","0.0393",
"1600000US0600884","Alhambra city, California","0.4915","0.0339",
"1600000US0602000","Anaheim city, California","0.4245","0.0144",
"1600000US0602252","Antioch city, California","0.3947","0.0266",
"1600000US0602364","Apple Valley town, California","0.4363","0.0366",
