"GEO_ID","NAME","B19083_001E","B19083_001M",
"Geography","Geographic Area Name","Estimate!!Gini Index","Margin of Error!!Gini Index",
"1600000US0107000","Birmingham city, Alabama","0.5056","0.0204",
"1600000US0121184","Dothan city, Alabama","0.4954","0.0282",
"1600000US0135896","Hoover city, Alabama","0.4302","0.0340",
"1600000US0137000","Huntsville city, Alabama","0.4853","0.0163",
"1600000US0150000","Mobile city, Alabama","0.5101","0.0233",
"1600000US0151000","Montgomery city, Alabama","0.4744","0.0216",
"1600000US0177256","Tuscaloosa city, Alabama","0.5135","0.0324",
"1600000US0203000","Anchorage municipality, Alaska","0.4138","0.0178",
"1600000US0404720","Avondale city, Arizona","0.3881","0.0720",
"1600000US0410670","Casas Adobes CDP, Arizona","0.4215","0.0283",
"1600000US0412000","Chandler city, Arizona","0.3899","0.0201",
"1600000US0423620","Flagstaff city, Arizona","0.4700","0.0306",
"1600000US0427400","Gilbert town, Arizona","0.3846","0.0284",
"1600000US0427820","Glendale city, Arizona","0.4332","0.0175",
"1600000US0428380","Goodyear city, Arizona","0.3973","0.0431",
"1600000US0446000","Mesa city, Arizona","0.4326","0.0127",
"1600000US0454050","Peoria city, Arizona","0.3945","0.0235",
"1600000US0455000","Phoenix city, Arizona","0.4717","0.0092",
"1600000US0464210","San Tan Valley CDP, Arizona","0.3689","0.0608",
"1600000US0465000","Scottsdale city, Arizona","0.5044","0.0232",
"1600000US0471510","Surprise city, Arizona","0.3581","0.0385",
"1600000US0473000","Tempe city, Arizona","0.4591","0.0212",
"1600000US0477000","Tucson city, Arizona","0.4679","0.0171",
"1600000US0485540","Yuma city, Arizona","0.4377","0.0335",
"1600000US0523290","Fayetteville city, Arkansas","0.5578","0.0370",
"1600000US0524550","Fort Smith city, Arkansas","0.5020","0.0293",
"1600000US0535710","Jonesboro city, Arkansas","0.5457","0.0537",
"1600000US0541000","Little Rock city, Arkansas","0.5288","0.0242",
"1600000US0566080","Springdale city, Arkansas","0.4591","0.0341",
"1600000US0600562","Alameda city, California","0.4291","0.0268",
"1600000US0600884","Alhambra city, California","0.4372","0.0353",
"1600000US0602000","Anaheim city, California","0.4215","0.0157",
"1600000US0602252","Antioch city, California","0.3804","0.0270",
"1600000US0602364","Apple Valley town, California","0.4370","0.0472",
"1600000US0602553","Arden-Arcade CDP, California","0.5278","0.0289",
"1600000US0603526","Bakersfield city, California","0.4614","0.0177",
"1600000US0603666","Baldwin Park city, California","0.3652","0.0222",
"1600000US0604982","Bellflower city, California","0.3917","0.0248",
"1600000US0606000","Berkeley city, California","0.5337","0.0208",
"1600000US0608786","Buena Park city, California","0.3754","0.0221",
"1600000US0608954","Burbank city, California","0.4188","0.0222",
"1600000US0610046","Camarillo city, California","0.4235","0.0409",
"1600000US0611194","Carlsbad city, California","0.4684","0.0354",
"1600000US0611530","Carson city, California","0.3691","0.0237",
"1600000US0613014","Chico city, California","0.4590","0.0227",
"1600000US0613210","Chino city, California","0.4435","0.0703",
"1600000US0613214","Chino Hills city, California","0.3658","0.0314",
"1600000US0613392","Chula Vista city, California","0.4107","0.0173",
"1600000US0613588","Citrus Heights city, California","0.4010","0.0233",
"1600000US0614218","Clovis city, California","0.4063","0.0281",
"1600000US0615044","Compton city, California","0.4092","0.0235",
"1600000US0616000","Concord city, California","0.4295","0.0277",
"1600000US0616350","Corona city, California","0.3872","0.0246",
"1600000US0616532","Costa Mesa city, California","0.4409","0.0229",
"1600000US0617918","Daly City city, California","0.4177","0.0257",
"1600000US0618100","Davis city, California","0.5233","0.0499",
"1600000US0619766","Downey city, California","0.4225","0.0368",
"1600000US0620802","East Los Angeles CDP, California","0.4076","0.0190",
"1600000US0621712","El Cajon city, California","0.4333","0.0200",
"1600000US0622020","Elk Grove city, California","0.3905","0.0308",
"1600000US0622230","El Monte city, California","0.4632","0.0481",
"1600000US0622804","Escondido city, California","0.4787","0.0274",
"1600000US0623182","Fairfield city, California","0.4073","0.0241",
"1600000US0624477","Florence-Graham CDP, California","0.4230","0.0328",
"1600000US0624638","Folsom city, California","0.3286","0.0337",
"1600000US0624680","Fontana city, California","0.3733","0.0213",
"1600000US0626000","Fremont city, California","0.4000","0.0160",
"1600000US0627000","Fresno city, California","0.4743","0.0142",
"1600000US0628000","Fullerton city, California","0.4651","0.0289",
"1600000US0629000","Garden Grove city, California","0.4286","0.0176",
"1600000US0630000","Glendale city, California","0.4858","0.0168",
"1600000US0632548","Hawthorne city, California","0.4374","0.0269",
"1600000US0633000","Hayward city, California","0.4311","0.0243",
"1600000US0633182","Hemet city, California","0.4710","0.0409",
"1600000US0633434","Hesperia city, California","0.3828","0.0196",
"1600000US0636000","Huntington Beach city, California","0.4510","0.0263",
"1600000US0636448","Indio city, California","0.4876","0.0508",
