"GEO_ID","NAME","B19083_001E","B19083_001M",
"Geography","Geographic Area Name","Estimate!!Gini Index","Margin of Error!!Gini Index",
"1600000US0107000","Birmingham city, Alabama","0.4911","0.0245",
"1600000US0121184","Dothan city, Alabama","0.4805","0.0198",
"1600000US0135896","Hoover city, Alabama","0.4251","0.0345",
"1600000US0137000","Huntsville city, Alabama","0.4804","0.0169",
"1600000US0150000","Mobile city, Alabama","0.5062","0.0206",
"1600000US0151000","Montgomery city, Alabama","0.4875","0.0180",
"1600000US0177256","Tuscaloosa city, Alabama","0.5258","0.0473",
"1600000US0203000","Anchorage municipality, Alaska","0.4035","0.0169",
"1600000US0404720","Avondale city, Arizona","0.3816","0.0180",
"1600000US0410670","Casas Adobes CDP, Arizona","0.3953","0.0294",
"1600000US0412000","Chandler city, Arizona","0.4162","0.0192",
"1600000US0423620","Flagstaff city, Arizona","0.5276","0.0897",
"1600000US0427400","Gilbert town, Arizona","0.3807","0.0206",
"1600000US0427820","Glendale city, Arizona","0.4659","0.0193",
"1600000US0428380","Goodyear city, Arizona","0.3737","0.0390",
"1600000US0446000","Mesa city, Arizona","0.4375","0.0131",
"1600000US0454050","Peoria city, Arizona","0.4233","0.0233",
"1600000US0455000","Phoenix city, Arizona","0.4787","0.0097",
"1600000US0464210","San Tan Valley CDP, Arizona","0.3226","0.0264",
"1600000US0465000","Scottsdale city, Arizona","0.5270","0.0214",
"1600000US0471510","Surprise city, Arizona","0.3635","0.0203",
"1600000US0473000","Tempe city, Arizona","0.4802","0.0200",
"1600000US0477000","Tucson city, Arizona","0.4598","0.0110",
"1600000US0485540","Yuma city, Arizona","0.4551","0.0386",
"1600000US0523290","Fayetteville city, Arkansas","0.5187","0.0251",
"1600000US0524550","Fort Smith city, Arkansas","0.5378","0.0553",
"1600000US0535710","Jonesboro city, Arkansas","0.4978","0.0849",
"1600000US0541000","Little Rock city, Arkansas","0.5247","0.0275",
"1600000US0550450","North Little Rock city, Arkansas","0.4477","0.0390",
"1600000US0566080","Springdale city, Arkansas","0.4168","0.0312",
"1600000US0600562","Alameda city, California","0.5242","0.0469",
"1600000US0600884","Alhambra city, California","0.4597","0.0287",
"1600000US0602000","Anaheim city, California","0.4568","0.0215",
"1600000US0602252","Antioch city, California","0.4339","0.0234",
"1600000US0602364","Apple Valley town, California","0.4863","0.0508",
"1600000US0602553","Arden-Arcade CDP, California","0.5194","0.0278",
"1600000US0603526","Bakersfield city, California","0.4479","0.0158",
"1600000US0603666","Baldwin Park city, California","0.3741","0.0315",
"1600000US0604982","Bellflower city, California","0.4692","0.0715",
"1600000US0606000","Berkeley city, California","0.5558","0.0238",
"1600000US0608786","Buena Park city, California","0.4057","0.0317",
"1600000US0608954","Burbank city, California","0.4493","0.0210",
