,2019,2020,2021,2022
Miller,"212,016","215,420","208,161","186,127"
Mitchell,"725,462","766,084","727,524","763,793"
Monroe,"1,604,599","1,204,117","1,304,450","1,384,688"
Montgomery,"147,803","140,888","140,901","135,619"
Morgan,"889,349","926,330","1,024,178","1,070,547"
Murray,"1,232,176","1,199,779","1,310,426","1,420,602"
Muscogee,"10,812,139","10,591,901","10,718,123","10,215,324"
Newton,"3,117,505","3,088,645","3,048,784","3,072,178"
Oconee,"1,530,752","1,554,526","1,640,160","1,685,139"
Oglethorpe,"299,177","250,714","297,639","353,158"
Paulding,"3,150,896","3,104,259","3,327,217","3,513,446"
Peach,"933,586","878,789","914,699","935,644"
Pickens,"1,023,198","975,135","1,055,992","1,071,632"
Pierce,"411,116","436,631","448,717","440,704"
Pike,"339,923","328,280","348,625","360,580"
Polk,"1,240,250","1,169,518","1,237,566","1,307,380"
Pulaski,"289,539","271,423","288,910","281,447"
Putnam,"555,106","525,774","581,813","589,173"
Quitman,"36,737","39,085","36,796","31,314"
Rabun,"575,330","541,899","601,899","593,532"
Randolph,"179,958","184,384","176,271","178,953"
Richmond,"12,290,168","12,039,123","12,649,618","12,837,731"
Rockdale,"3,895,227","4,035,425","4,367,957","4,315,644"
Schley,"109,861","111,509","106,963","109,993"
Screven,"325,077","300,095","328,023","299,494"
Seminole,"307,771","308,298","294,987","316,470"
Spalding,"2,091,487","1,991,656","2,147,235","2,230,604"
Stephens,"912,728","915,598","948,097","1,008,097"
Stewart,"132,613","134,541","131,147","153,527"
Sumter,"1,043,146","1,027,431","988,808","1,001,904"
Talbot,"134,846","155,055","130,305","151,565"
Taliaferro,"30,390","25,830","29,754","36,542"
Tattnall,"594,248","531,228","573,583","625,907"
Taylor,"219,951","210,877","205,041","203,859"
Telfair,"301,473","257,755","269,234","269,053"
Terrell,"226,170","223,433","236,151","215,782"
Thomas,"2,128,670","2,153,585","2,313,890","2,284,524"
Tift,"1,945,296","1,907,110","1,962,488","1,944,304"
Toombs,"960,687","959,484","1,004,191","970,418"
Towns,"377,245","350,828","387,972","389,474"
Treutlen,"100,775","101,900","94,206","98,751"
Troup,"3,621,137","3,498,513","3,677,842","3,821,471"
Turner,"206,558","193,135","196,270","189,217"
Twiggs,"268,355","251,333","275,029","266,852"
Union,"823,718","798,670","859,002","868,898"
Upson,"691,433","633,584","669,806","695,893"
Walker,"1,422,070","1,404,147","1,527,052","1,615,845"
Walton,"2,709,474","2,680,401","2,793,283","2,821,174"
Ware,"1,415,915","1,330,060","1,333,672","1,338,301"
Warren,"159,391","170,516","159,387","161,534"
Washington,"623,348","619,558","625,091","685,386"
Wayne,"1,082,101","1,175,477","1,252,567","1,174,205"
Webster,"56,112","62,621","62,290","57,116"
Wheeler,"102,118","101,761","117,447","109,193"
White,"901,500","814,615","898,885","979,976"
Whitfield,"5,645,986","5,470,011","5,723,306","5,842,191"
Wilcox,"158,369","142,558","144,521","146,958"
Wilkes,"319,160","275,408","304,996","352,415"
Wilkinson,"540,580","553,153","591,126","577,164"
Worth,"359,723","340,511","332,492","303,988"
,,,,
Hawaii,"88,945,262","79,592,540","84,121,542","85,211,432"
Hawaii,"8,719,351","7,509,986","8,332,736","8,497,948"
Honolulu,"65,648,269","59,885,935","62,531,675","63,071,690"
Kauai,"4,169,841","3,636,464","3,792,141","3,940,174"
Maui + Kalawao,"10,407,877","8,558,733","9,459,908","9,692,556"
,,,,
Idaho,"81,261,310","82,818,589","87,992,888","91,683,659"
Ada,"28,905,316","29,363,366","31,678,303","33,232,323"
Adams,"119,068","123,845","139,331","146,458"
Bannock,"2,868,747","2,904,229","3,001,308","3,109,157"
Bear Lake,"175,966","183,553","178,547","197,754"
Benewah,"343,142","355,818","364,419","388,366"
Bingham,"1,396,284","1,436,179","1,453,637","1,592,950"
Blaine,"1,560,624","1,552,062","1,804,322","1,870,040"
Boise,"170,460","162,884","178,526","192,322"
Bonner,"1,550,754","1,642,470","1,742,372","1,814,132"
Bonneville,"6,910,038","6,864,828","6,953,155","6,954,453"
Boundary,"389,852","369,593","378,907","396,956"
Butte,"1,181,936","1,279,385","1,296,495","1,366,945"
Camas,"71,205","71,871","77,919","80,604"
Canyon,"6,602,407","6,708,390","7,424,925","7,957,058"
Caribou,"597,820","677,504","694,818","656,500"
Cassia,"1,488,963","1,481,837","1,480,848","1,528,835"
Clark,"45,179","43,286","34,852","45,721"
Clearwater,"340,227","345,974","353,090","395,209"
Custer,"160,175","167,770","173,059","180,174"
Elmore,"1,265,689","1,250,583","1,265,554","1,262,974"
Franklin,"372,747","402,473","411,636","436,587"
Fremont (includes Yellowstone National Park),"386,130","390,106","371,878","432,084"
Gem,"416,772","414,984","459,016","480,823"
Gooding,"1,190,073","1,230,347","1,201,401","1,152,730"
Idaho,"438,411","458,283","506,267","489,859"
Jefferson,"857,775","866,490","889,510","972,435"
Jerome,"1,228,535","1,260,587","1,278,898","1,258,129"
Kootenai,"6,575,138","6,883,769","7,661,498","7,948,925"
Latah,"1,402,568","1,382,091","1,506,724","1,563,812"
Lemhi,"252,464","251,473","271,336","292,814"
Lewis,"151,653","154,905","175,571","169,761"
Lincoln,"260,678","254,675","261,055","256,926"
Madison,"1,309,085","1,325,686","1,389,475","1,493,557"
Minidoka,"847,151","883,805","827,518","933,430"
Nez Perce,"2,103,573","2,137,828","2,237,313","2,294,946"
Oneida,"119,336","132,664","142,158","134,309"
Owyhee,"399,354","394,657","400,480","409,456"
Payette,"824,361","810,259","857,711","890,696"
Power,"424,727","447,153","373,505","440,674"
Shoshone,"446,031","547,477","646,216","589,501"
Teton,"366,249","374,743","426,867","471,613"
Twin Falls,"3,758,835","3,869,767","4,050,776","4,189,779"
Valley,"513,623","509,140","568,427","600,570"
Washington,"469,365","447,689","408,910","457,962"
,,,,
Illinois,"857,985,023","810,210,057","852,749,076","864,170,938"
Adams,"3,502,534","3,260,490","3,552,264","3,548,749"
Alexander,"162,648","149,838","137,077","134,667"
Bond,"567,144","545,304","567,331","571,306"
Boone,"1,956,442","1,694,960","1,658,969","1,702,331"
Brown,"511,966","479,572","454,027","429,955"
Bureau,"1,234,670","1,178,011","1,253,972","1,215,053"
Calhoun,"90,393","91,362","95,514","96,003"
Carroll,"527,139","532,571","574,970","595,358"
Cass,"628,733","637,415","658,617","693,635"
Champaign,"11,132,950","10,925,256","11,311,828","11,570,401"
Christian,"1,485,465","1,360,311","1,513,930","1,477,293"
Clark,"496,149","469,422","505,685","505,932"
Clay,"586,844","540,122","575,625","595,365"
Clinton,"1,095,368","1,062,638","1,084,280","1,074,062"
Coles,"2,410,859","2,381,548","2,627,905","2,644,117"
Cook,"413,290,061","386,309,013","408,432,846","417,565,020"
Crawford,"1,294,190","963,672","1,043,757","933,459"
Cumberland,"1,157,643","915,733","787,926","780,256"
DeKalb,"4,146,230","4,139,077","4,320,680","4,201,740"
De Witt,"1,116,554","1,188,218","1,132,192","1,200,997"
Douglas,"968,421","974,685","1,027,369","1,088,491"
DuPage,"96,270,314","92,492,562","96,926,279","97,328,213"
Edgar,"800,087","771,206","852,221","880,569"
Edwards,"314,951","275,360","280,319","297,680"
Effingham,"2,072,174","2,060,867","2,158,227","2,172,571"
Fayette,"567,308","532,705","566,251","574,094"
Ford,"678,191","693,129","705,874","759,702"
Franklin,"1,040,311","897,558","940,610","983,088"
Fulton,"928,970","797,510","823,415","833,905"
Gallatin,"161,036","138,187","152,229","151,517"
Greene,"285,943","299,659","330,037","333,484"
Grundy,"4,231,969","4,299,166","4,249,623","4,192,401"
Hamilton,"356,219","279,734","317,184","347,321"
Hancock,"502,458","524,653","582,788","579,286"
Hardin,"77,452","72,936","73,303","82,234"
Henderson,"150,086","158,938","171,589","179,226"
Henry,"1,454,654","1,460,876","1,520,385","1,486,658"
Iroquois,"987,113","986,536","1,011,779","1,037,936"
Jackson,"2,536,464","2,478,581","2,474,408","2,555,973"
Jasper,"421,521","420,753","485,681","478,963"
Jefferson,"1,891,756","1,753,618","1,777,776","1,724,710"
Jersey,"473,233","482,111","530,971","518,929"
Jo Daviess,"756,410","744,100","833,946","839,608"
Johnson,"233,029","216,173","225,819","221,112"
Kane,"27,602,557","25,936,899","27,214,486","27,266,038"
Kankakee,"6,262,410","6,140,372","6,679,390","6,876,837"
Kendall,"3,739,232","3,520,142","3,644,924","3,594,250"
Knox,"1,718,688","1,660,890","1,724,835","1,727,430"
Lake,"62,755,266","61,463,587","64,425,567","64,003,388"
LaSalle,"5,794,232","5,639,605","5,780,115","5,681,661"
Lawrence,"536,816","499,507","509,244","503,335"
Lee,"1,514,930","1,506,297","1,538,171","1,580,756"
Livingston,"1,935,966","1,896,569","2,024,435","2,084,917"
Logan,"986,835","992,822","1,045,707","1,065,928"
McDonough,"1,099,749","1,043,864","1,061,848","1,074,902"
McHenry,"11,682,850","10,980,637","11,738,874","11,736,282"
McLean,"14,906,310","12,328,380","12,368,351","12,402,490"
Macon,"6,477,282","6,303,815","6,870,929","7,020,859"
Macoupin,"1,112,648","1,121,167","1,170,113","1,146,944"
Madison,"12,089,112","10,754,719","11,630,847","11,434,900"
Marion,"1,325,981","1,256,420","1,272,399","1,306,920"
Marshall,"362,434","385,951","435,304","458,259"
Mason,"474,635","388,669","423,721","458,176"
Massac,"620,469","590,469","646,621","572,417"
Menard,"226,034","234,354","262,085","258,983"
Mercer,"369,247","391,263","424,386","425,436"
Monroe,"895,698","865,245","968,430","910,027"
Montgomery,"1,027,239","887,655","963,424","1,017,393"
Morgan,"1,556,950","1,495,015","1,491,907","1,470,724"
Moultrie,"834,022","815,054","720,749","731,264"
Ogle,"2,667,339","2,740,941","2,766,532","2,807,275"
Peoria,"13,060,083","12,195,225","12,508,455","13,244,738"
Perry,"580,779","569,420","590,716","605,326"
Piatt,"474,667","484,971","505,772","514,555"
Pike,"508,662","512,364","596,797","567,866"
Pope,"57,722","52,471","51,442","57,348"
Pulaski,"198,971","156,899","158,856","156,085"
Putnam,"332,283","276,115","300,236","287,264"
Randolph,"1,482,695","1,334,968","1,511,888","1,493,323"
Richland,"568,236","550,225","566,192","568,427"
Rock Island,"10,172,349","9,830,250","9,899,701","9,816,801"
St. Clair,"11,807,863","11,316,630","12,135,090","11,950,816"
Saline,"807,244","721,256","742,221","757,207"
Sangamon,"11,450,461","10,669,967","11,282,804","11,483,920"
Schuyler,"242,516","238,681","237,530","234,924"
Scott,"137,590","143,537","155,695","156,566"
Shelby,"718,256","763,987","763,614","768,804"
Stark,"187,979","214,976","245,273","260,987"
Stephenson,"1,760,135","1,729,021","1,800,875","1,832,315"
Tazewell,"5,872,010","5,310,099","5,680,626","6,030,735"
Union,"419,360","398,991","399,129","388,703"
Vermilion,"3,200,616","3,045,323","3,155,857","3,225,783"
Wabash,"343,811","324,198","312,811","322,343"
Warren,"755,014","763,379","800,513","847,234"
Washington,"1,089,385","1,022,471","994,355","1,103,392"
Wayne,"454,349","431,579","453,066","461,894"
White,"506,550","440,395","471,343","465,597"
Whiteside,"2,049,944","2,008,885","2,116,654","2,162,699"
Will,"34,340,655","33,463,951","35,846,532","35,885,479"
Williamson,"2,969,444","2,795,766","2,861,146","2,997,474"
Winnebago,"14,206,109","12,795,095","13,241,601","13,663,162"
Woodford,"1,102,428","1,158,536","1,231,863","1,217,623"
,,,,
Indiana,"371,044,463","359,184,703","384,051,049","396,009,189"
Adams,"1,815,301","1,669,723","1,757,569","1,805,835"
Allen,"21,895,602","20,233,354","21,550,466","22,287,820"
Bartholomew,"6,780,298","6,283,094","6,538,720","6,996,930"
Benton,"469,199","489,991","494,472","482,808"
Blackford,"339,226","321,299","340,848","326,574"
Boone,"3,498,563","3,796,899","4,178,114","4,229,012"
Brown,"298,383","268,685","293,289","306,714"
Carroll,"655,963","675,623","726,000","692,020"
Cass,"1,379,440","1,386,543","1,477,503","1,503,337"
Clark,"5,451,600","5,469,388","5,718,488","5,807,794"
Clay,"785,070","760,514","807,984","848,658"
Clinton,"1,453,319","1,439,325","1,456,403","1,532,955"
Crawford,"182,718","185,667","190,717","193,997"
Daviess,"1,296,564","1,375,567","1,401,381","1,530,527"
Dearborn,"1,798,352","1,820,355","1,893,352","1,865,874"
Decatur,"1,742,514","1,610,164","1,644,108","1,625,762"
DeKalb,"2,557,667","2,417,963","2,668,253","2,794,775"
Delaware,"4,128,420","4,029,329","4,164,411","4,319,738"
Dubois,"2,739,490","2,629,831","2,696,554","2,788,243"
Elkhart,"16,064,684","15,661,587","18,720,820","20,013,141"
Fayette,"563,896","543,697","560,963","558,488"
Floyd,"2,972,890","2,779,941","2,984,512","3,060,618"
Fountain,"457,787","463,137","518,897","557,160"
Franklin,"511,435","524,190","546,309","534,641"
Fulton,"677,564","669,460","699,843","699,900"
Gibson,"3,386,875","3,331,158","3,526,201","3,893,862"
Grant,"2,428,645","2,320,643","2,471,765","2,545,605"
Greene,"637,627","607,689","642,731","648,567"
Hamilton,"20,786,542","20,009,623","21,939,427","22,860,477"
Hancock,"3,216,043","3,236,483","3,516,458","3,499,659"
Harrison,"1,165,587","1,144,537","1,200,215","1,209,168"
Hendricks,"7,017,979","7,056,169","7,488,887","7,691,416"
Henry,"1,361,409","1,361,325","1,491,321","1,510,075"
Howard,"4,386,884","4,135,308","4,497,728","4,951,309"
Huntington,"1,439,377","1,394,510","1,520,060","1,560,928"
Jackson,"2,417,498","2,473,828","2,707,768","2,867,098"
Jasper,"1,556,730","1,451,007","1,541,467","1,429,935"
Jay,"889,101","870,954","960,697","1,087,318"
Jefferson,"1,562,614","1,509,381","1,635,762","1,742,294"
Jennings,"746,606","724,741","719,226","750,258"
Johnson,"5,549,779","5,540,585","6,097,602","6,117,373"
Knox,"1,828,043","1,824,095","1,880,505","1,926,136"
Kosciusko,"5,570,728","5,815,793","6,169,248","6,265,837"
Lagrange,"1,884,769","1,661,724","1,855,131","2,084,499"
Lake,"22,635,834","21,288,528","22,751,399","22,771,391"
LaPorte,"4,120,823","3,990,212","4,197,586","4,177,727"
Lawrence,"1,349,712","1,310,643","1,464,667","1,515,658"
Madison,"3,863,211","3,743,449","3,890,168","3,878,811"
Marion,"95,126,100","93,825,716","99,239,930","102,844,605"
Marshall,"1,662,438","1,623,533","1,670,010","1,676,921"
Martin,"1,088,653","1,126,856","1,135,266","1,215,082"
Miami,"959,956","907,824","947,148","880,371"
Monroe,"7,063,433","6,758,448","6,938,545","7,171,059"
Montgomery,"1,633,312","1,611,785","1,739,343","1,864,021"
Morgan,"1,866,328","1,872,853","1,763,636","1,919,517"
Newton,"322,162","340,477","376,104","365,223"
Noble,"1,959,535","1,850,392","1,992,682","2,074,984"
Ohio,"116,078","119,000","122,227","122,541"
Orange,"643,495","597,964","648,696","709,279"
Owen,"525,030","524,515","579,044","613,681"
Parke,"343,254","366,399","399,912","406,171"
Perry,"746,540","703,479","802,474","910,838"
Pike,"719,783","648,391","726,336","693,715"
Porter,"7,593,062","6,925,856","7,324,730","7,839,876"
Posey,"3,545,646","3,243,097","4,119,742","3,570,645"
Pulaski,"615,079","626,359","665,662","712,036"
Putnam,"1,130,284","1,082,277","1,113,150","1,104,042"
Randolph,"783,478","739,853","877,868","922,462"
Ripley,"1,149,353","1,157,369","1,197,826","1,102,178"
Rush,"609,130","575,125","618,983","631,322"
St. Joseph,"14,592,716","13,728,042","14,414,936","14,862,458"
Scott,"715,625","688,643","724,789","717,758"
Shelby,"2,029,838","1,904,247","1,984,160","2,087,349"
Spencer,"1,098,481","893,487","1,004,482","1,006,524"
Starke,"537,583","539,049","549,609","522,124"
Steuben,"1,473,071","1,385,729","1,503,247","1,509,266"
Sullivan,"911,947","799,363","956,561","979,275"
Switzerland,"242,307","211,960","237,517","235,889"
Tippecanoe,"10,461,315","9,715,177","9,960,155","10,641,227"
Tipton,"590,955","610,890","657,477","669,417"
Union,"139,167","141,035","145,871","139,803"
Vanderburgh,"11,501,582","10,846,464","11,423,858","11,537,474"
Vermillion,"816,244","869,216","926,378","908,455"
Vigo,"4,606,744","4,550,677","4,774,920","4,903,773"
Wabash,"1,164,935","1,133,832","1,249,578","1,270,836"
Warren,"218,094","224,753","300,829","284,793"
Warrick,"2,316,762","2,377,862","2,545,865","2,584,353"
Washington,"630,550","614,508","672,760","739,281"
Wayne,"2,825,488","2,724,264","2,817,849","2,894,783"
Wells,"1,099,217","1,076,891","1,188,854","1,185,146"
White,"959,563","1,018,777","1,114,928","1,139,697"
Whitley,"1,566,449","1,534,179","1,782,250","2,007,715"
,,,,
Iowa,"188,318,356","187,136,650","198,470,829","197,846,255"
Adair,"371,279","443,200","501,353","501,881"
Adams,"220,658","197,413","220,340","215,986"
Allamakee,"594,828","598,071","557,855","553,363"
Appanoose,"401,090","404,362","448,338","421,282"
Audubon,"298,976","286,301","306,166","304,548"
Benton,"860,315","839,794","885,856","894,924"
Black Hawk,"7,891,355","7,918,264","8,403,668","8,149,083"
Boone,"1,018,386","1,024,704","1,052,492","1,042,577"
Bremer,"1,116,133","1,074,202","1,162,587","1,177,966"
Buchanan,"768,060","755,924","784,296","786,929"
Buena Vista,"1,184,907","1,243,275","1,323,186","1,452,784"
Butler,"415,906","398,181","529,991","546,275"
Calhoun,"398,395","376,676","420,480","426,539"
Carroll,"1,304,023","1,293,589","1,316,030","1,329,933"
Cass,"665,128","633,250","688,894","677,604"
Cedar,"601,788","564,116","667,134","643,612"
Cerro Gordo,"2,430,187","2,422,542","2,579,203","2,573,895"
Cherokee,"617,297","624,115","710,862","777,263"
Chickasaw,"632,626","594,953","703,822","758,966"
Clarke,"404,098","402,034","435,156","469,695"
Clay,"1,012,161","1,009,854","1,024,855","1,068,362"
Clayton,"867,926","800,698","826,095","825,616"
Clinton,"2,211,471","2,181,046","2,310,217","2,311,645"
Crawford,"760,053","725,126","796,228","791,528"
Dallas,"5,662,295","5,924,704","6,468,013","6,601,785"
Davis,"258,954","248,554","275,594","286,898"
Decatur,"210,929","203,430","229,286","234,236"
Delaware,"875,574","871,796","874,613","899,084"
Des Moines,"2,183,916","2,157,596","2,239,257","2,205,134"
Dickinson,"990,378","970,622","1,051,014","1,051,094"
Dubuque,"6,624,026","6,772,031","7,048,913","6,866,230"
Emmet,"367,718","339,536","389,175","392,492"
Fayette,"728,369","707,081","732,480","743,855"
Floyd,"801,789","751,303","805,907","820,321"
Franklin,"568,382","547,315","642,123","640,149"
Fremont,"327,173","297,600","344,450","322,055"
Greene,"469,561","463,955","547,114","537,587"
Grundy,"498,902","500,697","584,080","584,214"
Guthrie,"419,423","447,556","482,544","506,797"
Hamilton,"759,682","675,889","766,151","804,219"
Hancock,"789,929","734,549","880,583","942,274"
Hardin,"793,795","732,457","870,276","906,654"
Harrison,"445,147","420,361","504,965","516,351"
Henry,"907,278","921,099","965,988","935,338"
Howard,"446,795","437,638","502,371","509,743"
Humboldt,"457,085","425,267","464,394","458,871"
Ida,"532,393","587,324","600,189","583,481"
Iowa,"1,063,250","963,077","1,039,960","990,773"
Jackson,"632,242","650,870","647,054","639,197"
Jasper,"1,217,348","1,193,848","1,274,671","1,159,073"
Jefferson,"704,001","672,127","727,457","738,526"
Johnson,"9,627,039","9,317,599","9,460,748","9,492,245"
Jones,"625,510","619,206","653,666","637,340"
Keokuk,"332,666","310,002","333,275","319,652"
Kossuth,"883,889","807,055","984,841","984,733"
Lee,"1,775,915","1,864,778","1,842,815","1,771,261"
Linn,"16,821,605","16,419,464","17,306,757","17,321,866"
Louisa,"736,909","777,093","972,409","932,744"
Lucas,"307,657","311,504","320,695","298,611"
Lyon,"814,867","863,857","822,286","912,971"
Madison,"418,674","419,399","452,701","451,547"
Mahaska,"872,478","821,063","868,311","858,109"
Marion,"2,205,597","2,195,583","2,225,929","2,112,895"
Marshall,"1,866,652","1,825,511","1,786,164","1,766,947"
Mills,"604,190","522,219","567,149","552,579"
Mitchell,"670,515","579,527","604,232","633,568"
Monona,"315,851","298,278","339,020","342,642"
Monroe,"417,169","411,476","466,479","496,812"
Montgomery,"422,487","409,435","450,104","443,513"
Muscatine,"2,580,716","2,542,297","2,522,513","2,578,843"
O'Brien,"858,935","858,641","856,850","883,743"
Osceola,"340,170","327,620","355,806","407,093"
Page,"618,026","586,361","641,130","621,580"
Palo Alto,"503,411","457,819","528,845","577,658"
Plymouth,"1,415,461","1,343,127","1,453,299","1,526,073"
Pocahontas,"527,187","467,002","512,855","517,436"
Polk,"44,816,347","45,908,548","48,921,087","47,683,356"
Pottawattamie,"4,370,722","4,115,273","4,317,964","4,349,226"
Poweshiek,"1,103,209","1,123,069","1,182,184","1,222,295"
Ringgold,"185,375","173,802","176,273","165,129"
Sac,"499,063","472,801","541,844","571,402"
Scott,"9,591,035","9,464,867","9,802,814","9,868,941"
Shelby,"702,083","666,914","773,997","768,800"
Sioux,"2,322,570","2,457,050","2,369,324","2,587,382"
Story,"5,635,840","5,544,734","5,799,272","5,782,585"
Tama,"611,137","643,935","694,249","684,535"
Taylor,"251,101","247,291","301,172","293,879"
Union,"640,115","684,301","783,221","839,681"
Van Buren,"222,464","215,901","244,661","232,442"
Wapello,"1,657,608","1,641,566","1,764,162","1,723,775"
Warren,"1,279,175","1,272,428","1,391,443","1,368,732"
Washington,"1,201,683","1,040,767","1,201,344","1,270,872"
Wayne,"225,843","215,535","267,639","248,624"
Webster,"2,040,163","1,948,087","2,088,476","2,105,636"
Winnebago,"407,607","429,977","478,883","507,405"
Winneshiek,"967,015","986,008","1,003,796","986,693"
Woodbury,"5,241,792","5,118,383","5,273,987","5,217,724"
Worth,"297,646","286,530","354,820","351,158"
Wright,"658,320","632,958","739,559","877,648"
,,,,
Kansas,"170,351,748","168,540,833","172,839,773","174,794,603"
Allen,"553,306","552,376","576,251","556,971"
Anderson,"264,879","295,960","356,545","299,113"
Atchison,"708,552","684,803","678,250","628,585"
Barber,"181,930","182,496","183,584","194,639"
Barton,"1,225,253","1,239,409","1,206,722","1,187,074"
Bourbon,"606,149","590,313","584,400","609,572"
Brown,"574,964","550,605","619,369","567,476"
Butler,"2,486,394","2,463,623","2,548,408","2,359,250"
Chase,"117,553","132,574","134,180","118,310"
Chautauqua,"68,174","70,934","72,358","65,838"
Cherokee,"765,135","827,140","830,606","872,820"
Cheyenne,"107,676","122,662","141,419","117,938"
Clark,"181,576","189,060","203,039","204,115"
Clay,"285,913","282,148","293,291","224,404"
Cloud,"385,909","398,350","416,705","385,451"
Coffey,"815,820","872,861","749,211","645,388"
Comanche,"56,176","52,141","53,964","69,926"
Cowley,"1,292,719","1,243,774","1,317,936","1,279,251"
Crawford,"1,717,161","1,674,044","1,694,753","1,682,766"
Decatur,"111,069","132,767","137,567","193,559"
Dickinson,"641,591","614,462","681,331","620,230"
Doniphan,"288,698","270,549","286,711","225,663"
Douglas,"5,148,011","5,029,137","5,178,674","5,219,845"
Edwards,"167,243","163,304","159,431","145,252"
Elk,"77,301","75,815","76,996","86,517"
Ellis,"1,556,539","1,609,266","1,680,506","1,772,342"
Ellsworth,"270,755","276,802","271,507","247,611"
Finney,"2,130,892","2,148,664","2,273,538","2,287,775"
Ford,"2,184,374","2,279,348","2,416,136","2,444,691"
Franklin,"902,280","868,004","899,524","828,942"
Geary,"2,888,806","2,935,636","2,976,999","2,885,327"
Gove,"150,135","157,336","196,982","170,892"
Graham,"121,746","125,082","143,367","119,266"
Grant,"382,353","431,389","419,535","413,414"
Gray,"580,023","569,766","558,866","615,705"
Greeley,"117,104","127,192","135,263","180,961"
Greenwood,"154,207","153,057","147,487","144,373"
Hamilton,"213,469","227,776","174,459","157,072"
Harper,"274,015","274,187","280,973","258,604"
Harvey,"1,349,722","1,282,312","1,357,386","1,308,772"
Haskell,"260,418","298,325","295,405","224,265"
Hodgeman,"105,948","114,619","108,187","94,995"
Jackson,"364,840","365,533","388,744","396,755"
Jefferson,"422,558","435,842","436,563","372,532"
Jewell,"108,138","108,745","119,115","64,249"
Johnson,"50,607,347","49,932,185","51,001,391","53,507,243"
Kearny,"183,038","199,354","215,817","203,626"
Kingman,"276,320","351,000","324,457","282,518"
Kiowa,"113,468","134,861","132,367","93,673"
Labette,"848,548","820,172","798,368","814,188"
Lane,"106,378","107,308","109,033","113,134"
Leavenworth,"2,867,175","2,926,106","2,984,552","2,947,593"
Lincoln,"105,081","130,607","125,129","106,295"
Linn,"484,943","517,632","509,079","451,765"
Logan,"143,058","153,127","155,575","140,303"
Lyon,"1,436,454","1,427,324","1,462,914","1,488,309"
McPherson,"2,159,572","1,961,614","1,890,166","1,892,051"
Marion,"400,387","393,333","387,260","329,419"
Marshall,"542,691","542,386","546,462","629,467"
Meade,"236,243","225,973","258,919","248,353"
Miami,"970,835","988,715","1,020,360","1,036,518"
Mitchell,"436,690","489,927","505,485","465,766"
Montgomery,"1,757,229","1,715,257","1,866,698","1,679,946"
Morris,"182,670","192,121","188,441","180,290"
Morton,"116,506","128,276","139,363","88,545"
Nemaha,"423,689","468,692","507,936","545,268"
Neosho,"600,137","562,480","587,208","554,631"
Ness,"173,657","179,920","184,948","155,108"
Norton,"222,914","245,745","253,938","277,846"
Osage,"302,710","306,465","319,854","267,672"
Osborne,"170,852","171,140","168,711","146,770"
Ottawa,"113,939","120,563","132,786","105,775"
Pawnee,"273,960","267,214","274,486","207,240"
Phillips,"341,749","327,181","371,929","314,766"
Pottawatomie,"1,229,566","1,229,422","1,322,022","1,295,230"
Pratt,"579,504","560,980","584,511","539,015"
Rawlins,"105,706","138,239","163,112","182,086"
Reno,"2,572,505","2,570,711","2,615,806","2,611,622"
Republic,"206,175","198,221","215,169","142,944"
Rice,"566,139","504,446","559,710","573,778"
Riley,"2,743,635","2,695,463","2,798,593","2,900,047"
Rooks,"178,271","185,573","190,753","192,187"
Rush,"147,175","146,418","155,513","126,374"
Russell,"253,494","266,926","284,509","264,048"
Saline,"2,887,076","2,722,152","2,902,390","2,976,053"
Scott,"264,524","306,020","314,018","315,023"
Sedgwick,"31,931,117","30,679,155","31,391,701","32,861,513"
Seward,"1,159,057","1,222,675","1,315,438","1,283,372"
Shawnee,"10,397,869","10,561,918","10,886,577","11,120,208"
Sheridan,"97,848","137,264","141,607","98,424"
Sherman,"272,751","295,260","318,041","312,125"
Smith,"156,172","172,622","192,754","125,507"
Stafford,"163,678","172,276","172,778","121,139"
Stanton,"191,215","198,148","203,685","202,953"
Stevens,"282,520","307,229","344,627","278,293"
Sumner,"730,887","695,651","718,850","672,118"
Thomas,"501,655","561,862","595,867","602,163"
Trego,"157,518","158,354","162,687","145,488"
Wabaunsee,"146,450","142,864","147,926","140,492"
Wallace,"88,322","95,342","94,043","81,758"
Washington,"209,654","228,649","228,803","181,214"
Wichita,"206,794","193,513","196,454","200,653"
Wilson,"322,999","300,955","318,525","300,004"
Woodson,"74,978","74,852","76,019","71,600"
Wyandotte,"11,528,112","11,304,886","11,307,547","11,381,425"
,,,,
Kentucky,"211,739,686","206,288,782","214,565,067","217,568,064"
Adair,"376,520","378,892","383,758","387,875"
Allen,"476,496","439,591","462,813","501,379"
Anderson,"561,160","545,140","565,617","592,452"
Ballard,"212,425","215,393","245,219","241,204"
Barren,"1,448,156","1,377,158","1,397,031","1,373,614"
Bath,"207,131","193,766","191,058","191,114"
Bell,"752,269","709,082","731,038","736,844"
Boone,"11,919,911","11,914,111","12,588,421","12,487,129"
Bourbon,"956,209","880,117","877,952","888,977"
Boyd,"3,432,163","2,767,388","2,925,887","2,677,107"
Boyle,"1,252,340","1,195,245","1,235,169","1,259,016"
Bracken,"156,487","154,792","163,909","158,892"
Breathitt,"228,372","205,841","206,415","208,347"
Breckinridge,"393,641","374,653","408,267","389,720"
Bullitt,"2,528,604","2,536,921","2,732,030","2,835,527"
Butler,"304,501","294,195","304,976","300,968"
Caldwell,"390,065","386,936","422,092","423,288"
Calloway,"1,455,474","1,410,822","1,424,034","1,395,496"
