"GEO_ID","NAME","B19083_001E","B19083_001M",
"Geography","Geographic Area Name","Estimate!!Gini Index","Margin of Error!!Gini Index",
"1600000US0103076","Auburn city, Alabama","0.5567","0.0377",
"1600000US0107000","Birmingham city, Alabama","0.5222","0.0209",
"1600000US0121184","Dothan city, Alabama","0.5101","0.0247",
"1600000US0135896","Hoover city, Alabama","0.4214","0.0266",
"1600000US0137000","Huntsville city, Alabama","0.4800","0.0155",
"1600000US0150000","Mobile city, Alabama","0.4782","0.0188",
"1600000US0151000","Montgomery city, Alabama","0.4594","0.0222",
"1600000US0177256","Tuscaloosa city, Alabama","0.5446","0.0276",
"1600000US0203000","Anchorage municipality, Alaska","0.4426","0.0229",
"1600000US0404720","Avondale city, Arizona","0.3827","0.0336",
"1600000US0407940","Buckeye city, Arizona","0.3386","0.0283",
"1600000US0410670","Casas Adobes CDP, Arizona","0.4210","0.0381",
"1600000US0412000","Chandler city, Arizona","0.4155","0.0173",
"1600000US0423620","Flagstaff city, Arizona","0.4751","0.0425",
"1600000US0427400","Gilbert town, Arizona","0.3705","0.0196",
"1600000US0427820","Glendale city, Arizona","0.4491","0.0205",
"1600000US0428380","Goodyear city, Arizona","0.3693","0.0267",
"1600000US0446000","Mesa city, Arizona","0.4372","0.0200",
"1600000US0454050","Peoria city, Arizona","0.4073","0.0172",
"1600000US0455000","Phoenix city, Arizona","0.4615","0.0085",
"1600000US0464210","San Tan Valley CDP, Arizona","0.3113","0.0258",
"1600000US0465000","Scottsdale city, Arizona","0.5084","0.0170",
"1600000US0471510","Surprise city, Arizona","0.3698","0.0219",
"1600000US0473000","Tempe city, Arizona","0.4420","0.0242",
"1600000US0477000","Tucson city, Arizona","0.4518","0.0168",
"1600000US0485540","Yuma city, Arizona","0.4579","0.0397",
"1600000US0515190","Conway city, Arkansas","0.5174","0.0664",
"1600000US0523290","Fayetteville city, Arkansas","0.5009","0.0292",
"1600000US0524550","Fort Smith city, Arkansas","0.4663","0.0383",
"1600000US0535710","Jonesboro city, Arkansas","0.5117","0.0508",
"1600000US0541000","Little Rock city, Arkansas","0.5134","0.0267",
"1600000US0550450","North Little Rock city, Arkansas","0.4846","0.0458",
"1600000US0560410","Rogers city, Arkansas","0.4883","0.0425",
"1600000US0566080","Springdale city, Arkansas","0.4638","0.0397",
"1600000US0600562","Alameda city, California","0.4629","0.0307",
"1600000US0600884","Alhambra city, California","0.4519","0.0321",
"1600000US0602000","Anaheim city, California","0.4244","0.0173",
"1600000US0602252","Antioch city, California","0.4450","0.0296",
"1600000US0602364","Apple Valley town, California","0.4260","0.0336",
"1600000US0602553","Arden-Arcade CDP, California","0.4981","0.0291",
"1600000US0603526","Bakersfield city, California","0.4640","0.0258",
"1600000US0603666","Baldwin Park city, California","0.4119","0.0382",
"1600000US0604982","Bellflower city, California","0.3919","0.0271",
