city,population,2020,2021,2022,2023
"Paterson city, New Jersey","159,760","159,323","158,075","156,470","156,452"
"Lakewood city, Colorado","155,973","156,247","157,060","156,001","155,961"
"Hayward city, California","162,947","162,666","158,375","156,371","155,675"
"Charleston city, South Carolina","150,410","150,872","151,893","153,745","155,369"
"Alexandria city, Virginia","159,464","159,139","155,105","155,045","155,230"
"Hollywood city, Florida","153,035","152,802","152,412","152,630","153,859"
"Springfield city, Massachusetts","155,929","155,280","154,993","154,007","153,672"
"Kansas City city, Kansas","156,609","156,298","154,763","153,238","152,933"
"Sunnyvale city, California","155,627","155,250","152,477","151,682","151,967"
"Bellevue city, Washington","151,867","151,780","149,852","152,745","151,574"
"Joliet city, Illinois","150,393","150,251","150,627","150,156","150,489"
"Naperville city, Illinois","149,551","149,419","149,505","150,024","150,245"
"Escondido city, California","151,077","151,014","150,169","149,034","148,122"
"Bridgeport city, Connecticut","148,642","147,717","148,157","148,094","148,028"
"Savannah city, Georgia","147,774","147,456","146,458","147,980","147,748"
"Olathe city, Kansas","141,285","141,586","143,432","145,577","147,461"
"Mesquite city, Texas","150,225","149,627","147,722","147,646","147,317"
"Pasadena city, Texas","151,897","151,368","148,700","147,707","146,716"
"McAllen city, Texas","142,194","142,404","143,755","144,582","146,593"
"Rockford city, Illinois","148,924","148,670","147,745","146,646","146,120"
"Gainesville city, Florida","141,137","142,245","144,053","145,276","145,812"
"Syracuse city, New York","148,615","146,726","145,790","146,230","145,560"
"Pomona city, California","151,470","150,984","147,109","146,333","145,502"
"Visalia city, California","141,570","141,771","142,862","143,714","144,998"
"Thornton city, Colorado","141,863","142,185","142,925","143,247","144,922"
"Waco city, Texas","140,122","140,541","142,334","143,238","144,816"
"Jackson city, Mississippi","153,703","152,997","149,700","145,883","143,709"
"Columbia city, South Carolina","136,810","136,195","136,436","139,676","142,416"
"Fullerton city, California","143,639","143,267","140,193","140,390","139,250"
"Torrance city, California","146,955","146,442","143,322","140,901","139,224"
"Victorville city, California","134,804","134,638","136,078","137,430","138,869"
"Midland city, Texas","132,528","132,890","131,543","134,457","138,397"
"Orange city, California","139,904","139,451","137,838","138,003","138,337"
"Miramar city, Florida","134,710","134,516","135,367","137,192","138,319"
"Hampton city, Virginia","137,157","137,280","137,760","137,858","137,098"
"Warren city, Michigan","139,397","139,122","138,336","137,125","136,655"
"Stamford city, Connecticut","135,451","135,462","136,604","136,084","136,226"
"Cedar Rapids city, Iowa","137,728","137,758","136,874","136,392","135,958"
"Elizabeth city, New Jersey","137,312","136,677","135,520","135,045","135,829"
"Palm Bay city, Florida","119,752","120,163","122,975","129,173","135,566"
"Dayton city, Ohio","137,625","137,496","136,839","135,828","135,512"
"New Haven city, Connecticut","134,026","129,757","134,554","134,932","135,319"
"Coral Springs city, Florida","134,396","134,168","133,130","133,357","134,906"
"Meridian city, Idaho","117,745","119,443","125,817","129,707","134,801"
"West Valley City city, Utah","140,238","139,973","139,052","136,595","134,470"
"Pasadena city, California","138,723","138,462","136,290","134,492","133,560"
"Lewisville city, Texas","125,676","126,422","127,219","131,276","133,553"
"Kent city, Washington","136,610","136,592","135,235","134,429","133,378"
"Sterling Heights city, Michigan","134,338","134,059","133,303","132,476","133,306"
"Fargo city, North Dakota","125,952","125,986","129,575","131,444","133,188"
"Carrollton city, Texas","133,435","133,552","133,548","133,784","132,918"
"Santa Clara city, California","127,862","128,588","128,496","128,859","131,062"
"Round Rock city, Texas","119,510","120,549","124,106","126,927","130,406"
"Norman city, Oklahoma","127,987","128,161","129,065","129,579","130,046"
"Columbia city, Missouri","126,044","126,307","127,394","128,392","129,330"
"Abilene city, Texas","125,180","125,417","126,148","127,445","129,043"
"Athens-Clarke County unified government (balance), Georgia","127,362","127,245","127,895","128,414","128,628"
"Pearland city, Texas","125,813","125,996","126,020","127,061","127,736"
"Clovis city, California","120,154","120,770","123,337","124,873","125,826"
"Topeka city, Kansas","126,610","126,437","126,160","125,499","125,475"
"College Station city, Texas","120,524","120,771","122,668","124,280","125,192"
"Simi Valley city, California","126,367","126,343","125,807","124,849","125,113"
"Allentown city, Pennsylvania","125,855","125,727","125,812","125,088","124,880"
"West Palm Beach city, Florida","117,322","117,507","117,915","121,200","124,130"
"Thousand Oaks city, California","126,967","126,824","126,118","124,529","123,463"
"Vallejo city, California","126,085","125,894","124,777","123,686","122,807"
"Wilmington city, North Carolina","115,460","115,770","117,837","121,120","122,698"
"Rochester city, Minnesota","121,392","121,575","121,839","121,896","122,413"
"Concord city, California","125,416","125,286","124,452","123,112","122,315"
"Lakeland city, Florida","112,629","113,888","117,305","120,274","122,264"
"North Charleston city, South Carolina","114,824","115,551","117,573","118,598","121,469"
"Lafayette city, Louisiana","121,400","121,455","121,482","121,343","121,467"
"Arvada city, Colorado","124,343","124,343","123,484","121,430","121,414"
"Independence city, Missouri","122,923","122,899","122,185","121,079","120,922"
"Billings city, Montana","117,150","117,224","117,737","119,976","120,864"
"Fairfield city, California","119,874","119,833","119,957","119,957","120,768"
"Hartford city, Connecticut","121,019","119,798","120,034","119,851","119,669"
"Ann Arbor city, Michigan","123,875","123,611","119,060","119,924","119,381"
"Broken Arrow city, Oklahoma","113,553","113,928","116,370","117,867","119,194"
"Berkeley city, California","124,326","124,205","114,647","118,715","118,962"
