city,population,2020,2021,2022,2023
"Oro Valley town, Arizona","47,070","47,222","47,792","48,213","48,311"
"Azusa city, California","50,350","50,200","49,242","48,594","48,272"
"Biloxi city, Mississippi","49,440","49,420","49,167","48,997","48,235"
"Euclid city, Ohio","49,685","49,580","49,043","48,489","48,212"
"Lebanon city, Tennessee","38,484","38,891","41,017","44,166","48,112"
"Poway city, California","48,836","48,788","48,526","48,267","48,051"
"Middletown city, Connecticut","47,723","46,965","48,030","47,978","47,984"
"Wilson city, North Carolina","47,869","47,859","47,544","47,513","47,833"
"Prescott city, Arizona","45,905","46,056","47,125","47,601","47,757"
"Mansfield city, Ohio","47,541","47,535","47,693","47,841","47,711"
"Niagara Falls city, New York","48,671","48,521","48,308","47,903","47,599"
"Wentzville city, Missouri","44,614","44,962","45,554","47,225","47,497"
"Sherman city, Texas","43,671","43,963","45,070","45,303","47,473"
"Plainfield village, Illinois","44,886","44,953","45,606","46,281","47,448"
"Columbia city, Tennessee","41,724","42,100","43,556","45,742","47,445"
"Minot city, North Dakota","48,385","48,384","48,084","47,689","47,373"
"Winter Garden city, Florida","47,390","47,471","46,983","47,404","47,294"
"Gainesville city, Georgia","42,348","42,573","43,381","45,327","47,265"
"Waxahachie city, Texas","41,131","41,623","43,798","45,489","47,201"
"Beavercreek city, Ohio","46,560","46,609","46,753","46,929","47,193"
"Shakopee city, Minnesota","43,701","44,062","44,706","45,623","47,158"
"Roswell city, New Mexico","48,441","48,429","48,003","47,389","47,109"
"Wauwatosa city, Wisconsin","48,380","48,329","47,724","47,257","47,038"
"Olive Branch city, Mississippi","46,419","46,586","46,950","46,950","47,029"
"Newark city, California","47,528","47,517","46,977","46,722","46,929"
"Mentor city, Ohio","47,441","47,424","47,285","47,024","46,929"
"Glenview village, Illinois","48,712","48,543","47,781","47,162","46,904"
"East Providence city, Rhode Island","47,131","47,050","46,917","46,753","46,900"
"Charleston city, West Virginia","48,812","48,641","47,944","47,215","46,838"
"Cerritos city, California","49,573","49,399","48,318","47,445","46,797"
"Urbandale city, Iowa","45,582","45,579","46,004","46,661","46,729"
"Binghamton city, New York","47,958","47,790","47,470","47,051","46,727"
"Roseville city, Michigan","47,718","47,602","47,242","46,819","46,666"
"Attleboro city, Massachusetts","46,454","46,475","46,614","46,571","46,654"
"Monroe city, Louisiana","47,697","47,609","47,193","46,817","46,616"
"Keller city, Texas","45,763","45,714","45,451","45,250","46,316"
"Holly Springs town, North Carolina","41,267","41,576","43,485","45,785","46,271"
"Farmington city, New Mexico","46,613","46,500","46,362","46,177","46,237"
"Rancho Santa Margarita city, California","47,963","47,869","47,327","46,732","46,182"
"Salina city, Kansas","46,883","46,844","46,448","46,061","45,792"
"Oakley city, California","43,353","43,480","44,193","44,932","45,761"
"Mankato city, Minnesota","44,516","44,577","44,846","45,127","45,742"
"Hackensack city, New Jersey","46,033","45,908","45,774","45,624","45,736"
"Spanish Fork city, Utah","42,614","42,750","43,845","44,142","45,557"
"Strongsville city, Ohio","46,485","46,424","46,134","45,720","45,511"
"La Mirada city, California","47,983","47,831","46,934","46,119","45,505"
"Sayreville borough, New Jersey","45,351","45,225","45,199","45,139","45,496"
"Blacksburg town, Virginia","44,836","44,754","45,660","45,573","45,485"
"The Colony city, Texas","44,532","44,768","45,218","45,400","45,471"
"Bremerton city, Washington","43,500","43,624","44,949","45,354","45,450"
"Elmhurst city, Illinois","45,784","45,728","45,485","45,305","45,336"
"Huntington city, West Virginia","46,841","46,750","46,215","45,634","45,325"
"Haltom City city, Texas","46,077","45,989","45,775","45,538","45,290"
"Brentwood city, Tennessee","45,378","45,439","45,715","45,467","45,265"
"Altamonte Springs city, Florida","46,259","46,175","45,524","45,532","45,257"
"Palm Springs city, California","44,586","44,660","45,107","45,128","45,218"
"Moorhead city, Minnesota","44,510","44,542","44,788","44,824","45,202"
"Delaware city, Ohio","41,327","41,712","43,019","43,982","45,158"
"Charlottesville city, Virginia","46,553","46,469","45,746","45,272","44,983"
"Newnan city, Georgia","42,548","42,864","43,410","44,491","44,940"
"York city, Pennsylvania","44,798","44,788","44,848","44,848","44,867"
"Riverton city, Utah","45,287","45,289","45,120","44,577","44,854"
"West Lafayette city, Indiana","44,446","44,601","44,891","44,835","44,829"
"Post Falls city, Idaho","38,555","39,253","42,668","44,144","44,798"
"North Lauderdale city, Florida","44,790","44,721","44,342","44,532","44,784"
"Salem city, Massachusetts","44,483","43,692","44,633","44,504","44,744"
"Hollister city, California","41,685","41,882","43,364","44,142","44,658"
"Concord city, New Hampshire","43,997","44,040","44,182","44,489","44,629"
"Rohnert Park city, California","44,407","44,467","44,548","44,374","44,546"
"Burlington city, Vermont","44,742","44,746","44,744","44,612","44,528"
"Morgan Hill city, California","45,479","45,685","45,269","44,678","44,478"
"Littleton city, Colorado","45,663","45,595","45,331","44,784","44,451"
"Fairfield city, Ohio","44,894","44,905","44,603","44,455","44,447"
"Sierra Vista city, Arizona","45,319","45,389","45,669","45,361","44,431"
"Hickory city, North Carolina","43,558","43,624","43,721","44,058","44,415"
"Greer city, South Carolina","35,347","35,797","38,862","42,075","44,387"
"Fond du Lac city, Wisconsin","44,690","44,711","44,500","44,329","44,300"
"Ormond Beach city, Florida","43,070","43,117","43,500","44,069","44,277"
"Wilkes-Barre city, Pennsylvania","44,325","44,253","44,318","44,251","44,254"
"Bountiful city, Utah","45,772","45,776","45,466","44,484","44,144"
"Oakland Park city, Florida","44,225","44,142","43,752","43,824","44,105"
"Greenacres city, Florida","44,019","43,986","43,788","43,818","44,103"
"Linden city, New Jersey","43,748","43,540","43,691","43,303","43,950"
"Cleveland Heights city, Ohio","45,316","45,220","44,720","44,198","43,908"
"Lynnwood city, Washington","38,572","38,548","40,743","43,219","43,867"
"Fuquay-Varina town, North Carolina","34,258","34,547","36,769","40,664","43,817"
"Lombard village, Illinois","44,487","44,393","44,030","43,901","43,779"
"El Centro city, California","44,538","44,444","44,307","43,907","43,772"
"Cutler Bay town, Florida","45,425","45,213","44,380","43,947","43,762"
"Freeport village, New York","44,471","44,279","44,259","43,946","43,756"
"Leominster city, Massachusetts","43,791","43,755","43,732","43,748","43,627"
"Coachella city, California","41,937","42,008","42,511","42,904","43,590"
"Hagerstown city, Maryland","43,552","43,523","43,617","43,609","43,553"
"Alexandria city, Louisiana","45,262","45,104","44,649","43,944","43,466"
"Lake Worth Beach city, Florida","42,203","42,224","42,611","43,212","43,346"
"Celina city, Texas","16,876","17,808","23,880","34,207","43,317"
"Huber Heights city, Ohio","43,431","43,444","43,405","43,287","43,313"
"Bullhead City city, Arizona","41,351","41,491","42,226","42,899","43,302"
"Schertz city, Texas","42,017","42,142","42,664","43,020","43,239"
"Saginaw city, Michigan","44,208","44,112","43,892","43,468","43,185"
"Woonsocket city, Rhode Island","43,224","43,159","43,057","42,973","43,135"
"Pittsfield city, Massachusetts","43,938","43,807","43,717","43,381","43,076"
"Weslaco city, Texas","40,185","40,619","40,994","42,229","43,053"
"Lompoc city, California","44,449","44,402","43,372","43,851","43,045"
"DeLand city, Florida","37,786","38,213","39,514","41,299","43,009"
"Danville town, California","43,573","43,560","43,523","43,253","42,999"
"Mount Juliet city, Tennessee","39,308","39,686","40,811","42,565","42,912"
"Indian Trail town, North Carolina","40,089","40,300","41,081","41,751","42,854"
"North Miami Beach city, Florida","43,670","43,451","42,599","43,005","42,789"
"Altoona city, Pennsylvania","43,973","43,898","43,547","43,057","42,788"
"Grove City city, Ohio","41,244","41,312","41,822","42,242","42,782"
"Sumter city, South Carolina","43,469","43,420","43,180","42,734","42,766"
"Edmonds city, Washington","42,850","42,829","42,926","42,632","42,701"
"Manassas city, Virginia","42,773","42,692","42,764","42,673","42,696"
"Midland city, Michigan","42,535","42,516","42,482","42,573","42,663"
"Fulshear city, Texas","16,641","17,558","24,934","33,938","42,616"
"Jefferson City city, Missouri","43,240","42,524","42,387","42,526","42,552"
"Buffalo Grove village, Illinois","43,193","43,085","42,818","42,566","42,482"
"Brighton city, Colorado","40,072","40,293","40,874","41,881","42,477"
"Florence city, Alabama","40,174","40,577","41,069","41,687","42,437"
"Beverly city, Massachusetts","42,672","42,595","42,377","42,214","42,318"
"Marion city, Iowa","41,536","41,599","41,745","41,815","42,213"
"Puyallup city, Washington","42,976","43,033","42,931","42,456","42,179"
"Shelton city, Connecticut","40,883","40,762","41,612","41,829","42,144"
"Peachtree Corners city, Georgia","42,261","42,239","42,142","42,161","42,136"
"Cottage Grove city, Minnesota","38,835","38,988","39,965","41,044","42,056"
"Moline city, Illinois","42,991","42,897","42,465","42,037","41,965"
"Brookfield city, Wisconsin","41,467","41,483","41,503","41,941","41,884"
"Kiryas Joel village, New York","32,951","33,499","36,203","39,027","41,857"
"Danville city, Virginia","42,590","42,579","42,285","42,017","41,837"
"Campbell city, California","43,956","43,784","42,625","41,975","41,700"
"Prosper town, Texas","30,165","30,816","34,136","37,716","41,660"
"Woburn city, Massachusetts","40,884","40,826","41,182","41,464","41,647"
"Fitchburg city, Massachusetts","41,947","41,675","41,652","41,601","41,579"
"Hallandale Beach city, Florida","41,223","41,138","41,104","41,197","41,547"
"Lancaster city, Ohio","40,540","40,636","40,828","41,190","41,422"
"Coppell city, Texas","42,983","42,840","42,218","41,842","41,404"
"Milton city, Georgia","41,289","41,393","41,313","41,796","41,383"
"Midlothian city, Texas","35,131","35,538","37,057","38,676","41,352"
"San Bruno city, California","43,889","43,746","42,275","41,579","41,327"
"Oviedo city, Florida","40,062","40,012","39,510","39,574","41,231"
"Reynoldsburg city, Ohio","41,070","41,050","41,108","41,123","41,220"
"Marlborough city, Massachusetts","41,800","41,689","41,264","41,187","41,179"
"Owasso city, Oklahoma","38,307","38,394","38,692","39,328","41,162"
"Apache Junction city, Arizona","38,514","38,733","39,733","40,183","41,153"
"Rosenberg city, Texas","38,202","38,436","39,491","40,648","41,104"
"Covington city, Kentucky","40,949","40,936","40,789","40,944","40,972"
"Romeoville village, Illinois","40,800","40,805","41,440","41,067","40,955"
"Crystal Lake city, Illinois","40,254","40,229","40,482","40,633","40,861"
"Friendswood city, Texas","41,057","41,017","40,941","40,728","40,826"
"Cedar Falls city, Iowa","40,726","40,702","40,668","40,570","40,737"
"Belleville city, Illinois","42,375","42,266","41,828","41,228","40,726"
"State College borough, Pennsylvania","40,495","40,410","41,011","40,378","40,687"
"Florence city, South Carolina","40,111","40,097","40,124","40,231","40,609"
"Plant City city, Florida","39,842","39,771","39,795","40,410","40,571"
"Annapolis city, Maryland","40,804","40,873","40,826","40,652","40,552"
"Lake Stevens city, Washington","38,938","39,118","39,732","39,899","40,521"
"Westfield city, Massachusetts","40,821","40,743","40,621","40,501","40,509"
"Cape Girardeau city, Missouri","39,552","39,781","39,998","40,410","40,508"
"West Fargo city, North Dakota","38,632","38,895","39,461","39,980","40,400"
"Windsor town, Colorado","32,712","33,230","35,784","38,512","40,349"
"Amherst Town city, Massachusetts","39,263","27,796","40,264","40,124","40,277"
"Germantown city, Tennessee","41,342","41,269","40,924","40,564","40,267"
"New Berlin city, Wisconsin","40,450","40,482","40,498","40,302","40,260"
"Lancaster city, Texas","41,279","41,255","40,712","40,371","40,215"
"DeKalb city, Illinois","40,303","40,219","40,292","40,219","40,211"
"Peachtree City city, Georgia","38,257","38,369","38,883","39,548","40,193"
"Findlay city, Ohio","40,314","40,290","40,228","40,208","40,139"
"Valley Stream village, New York","40,629","40,491","40,395","40,166","40,007"
"Bartlett village, Illinois","41,125","41,018","40,548","40,137","39,992"
"Rancho Palos Verdes city, California","42,277","42,129","41,236","40,515","39,980"
"Rexburg city, Idaho","39,427","39,421","40,042","40,453","39,975"
"Wausau city, Wisconsin","40,024","40,027","39,731","39,806","39,968"
"Maplewood city, Minnesota","42,086","42,022","40,989","39,991","39,958"
"Cedar City city, Utah","35,247","35,470","37,359","38,743","39,942"
"Lake Oswego city, Oregon","40,802","40,828","40,551","40,109","39,924"
"Dover city, Delaware","39,422","39,320","39,598","39,768","39,894"
"Norwich city, Connecticut","40,129","40,028","40,060","39,934","39,881"
"Bettendorf city, Iowa","39,097","39,125","39,328","39,532","39,858"
"Lathrop city, California","28,702","29,096","31,322","35,080","39,857"
"Fort Lee borough, New Jersey","40,173","40,051","39,905","39,673","39,700"
"Menomonee Falls village, Wisconsin","38,523","38,593","39,042","39,224","39,700"
"Myrtle Beach city, South Carolina","35,699","35,973","36,997","38,426","39,697"
"Hutchinson city, Kansas","40,022","40,008","39,727","39,736","39,662"
"La Vergne city, Tennessee","38,709","38,711","39,078","39,308","39,597"
"Royal Palm Beach village, Florida","38,926","38,999","39,014","39,277","39,489"
"Georgetown city, Kentucky","37,549","37,786","38,281","38,762","39,462"
"Hobbs city, New Mexico","40,521","40,657","39,794","39,592","39,386"
"Kearny town, New Jersey","42,002","41,706","40,325","39,513","39,370"
"Prattville city, Alabama","37,749","37,856","38,293","38,754","39,318"
"Hurst city, Texas","40,416","40,313","40,089","39,672","39,304"
"Tooele city, Utah","35,750","36,039","37,247","38,604","39,263"
"Grants Pass city, Oregon","39,194","39,259","39,477","39,110","39,149"
"Pine Bluff city, Arkansas","41,261","40,978","40,335","39,569","39,123"
"La Quinta city, California","37,653","37,749","38,231","38,521","39,081"
"Douglasville city, Georgia","34,663","34,790","35,243","37,948","39,049"
"Culver City city, California","40,767","40,666","39,983","39,444","39,041"
"Spartanburg city, South Carolina","38,732","38,608","38,425","38,602","39,040"
"Issaquah city, Washington","40,066","40,094","39,624","39,351","38,977"
"Carol Stream village, Illinois","39,857","39,765","39,427","39,082","38,966"
"Winter Springs city, Florida","38,330","38,353","38,222","38,693","38,941"
"Duncanville city, Texas","40,705","40,526","39,798","39,373","38,883"
"Stanton city, California","37,964","38,097","38,793","39,100","38,815"
"Quincy city, Illinois","39,473","39,410","39,108","38,840","38,803"
"Hutto city, Texas","27,583","28,081","30,898","36,647","38,765"
"Warren city, Ohio","39,246","39,161","39,062","38,923","38,751"
"Aventura city, Florida","40,234","40,042","39,308","38,916","38,741"
"Copperas Cove city, Texas","36,658","36,719","37,453","37,975","38,696"
"Riviera Beach city, Florida","37,592","37,608","38,140","38,350","38,663"
"Lincoln Park city, Michigan","40,246","40,112","39,663","39,067","38,646"
"Roy city, Utah","39,301","39,319","39,293","38,781","38,592"
"Keizer city, Oregon","39,369","39,338","39,221","38,725","38,564"
"American Fork city, Utah","33,369","33,550","34,439","37,260","38,549"
"Portage city, Indiana","37,930","37,959","38,256","38,340","38,513"
"Braintree Town city, Massachusetts","39,148","39,075","38,800","38,603","38,490"
"Woodstock city, Georgia","35,109","35,247","36,375","37,349","38,473"
"Atlantic City city, New Jersey","38,491","38,417","38,449","38,496","38,464"
"Phenix City city, Alabama","38,809","38,798","38,411","38,289","38,441"
"Lewiston city, Maine","37,124","37,110","38,385","38,512","38,404"
"Chelsea city, Massachusetts","40,784","40,585","39,069","38,602","38,319"
"Socorro city, Texas","34,306","34,642","36,184","37,769","38,238"
"Calexico city, California","38,616","38,582","38,556","38,311","38,224"
"Urbana city, Illinois","38,353","38,228","38,652","38,414","38,209"
"Adelanto city, California","38,042","38,120","38,222","37,976","38,187"
"Northglenn city, Colorado","38,109","38,036","37,419","38,089","38,164"
"East Point city, Georgia","38,371","38,409","38,228","38,363","38,115"
"Bartlesville city, Oklahoma","37,276","37,383","37,558","37,789","38,114"
"Rome city, Georgia","37,735","37,679","37,575","37,904","38,111"
"Weatherford city, Texas","30,869","31,144","33,954","36,231","38,109"
"Hilton Head Island town, South Carolina","37,666","37,587","37,667","38,056","38,097"
"Vestavia Hills city, Alabama","39,174","39,129","38,818","38,286","38,020"
"Hot Springs city, Arkansas","37,935","37,972","38,010","38,065","37,994"
"San Luis city, Arizona","35,281","35,588","36,099","35,775","37,966"
"Westerville city, Ohio","39,194","39,244","38,410","38,158","37,958"
"Longview city, Washington","37,819","37,869","37,841","37,826","37,925"
"Parkland city, Florida","34,677","34,913","35,341","36,879","37,911"
"Estero village, Florida","36,924","37,030","37,437","37,769","37,908"
"Park Ridge city, Illinois","39,644","39,497","38,796","38,196","37,897"
"Sun Prairie city, Wisconsin","35,973","36,073","36,095","36,623","37,890"
"Monroe city, North Carolina","34,619","34,676","35,044","36,016","37,797"
"Streamwood village, Illinois","39,582","39,432","38,704","38,067","37,780"
"Kearns metro township, Utah","36,720","36,734","36,714","37,219","37,767"
"San Gabriel city, California","39,574","39,464","38,667","38,067","37,732"
"Wheeling village, Illinois","39,147","39,185","38,472","37,857","37,725"
"Tupelo city, Mississippi","37,922","37,921","37,808","37,685","37,675"
"Holyoke city, Massachusetts","38,251","38,154","37,866","37,689","37,628"
"Clovis city, New Mexico","38,551","38,513","38,189","37,806","37,612"
"Benton city, Arkansas","35,016","35,119","35,717","36,606","37,558"
"Montclair city, California","37,886","37,941","38,001","37,754","37,545"
"Bell Gardens city, California","39,514","39,382","38,548","37,901","37,467"
"Oregon City city, Oregon","37,578","37,769","37,638","37,326","37,351"
"New Albany city, Indiana","37,820","37,798","37,614","37,455","37,329"
"Pleasant Grove city, Utah","37,724","37,738","37,953","37,654","37,294"
"Haines City city, Florida","27,542","27,949","29,907","33,645","37,272"
"Hilliard city, Ohio","37,113","37,137","36,941","37,380","37,262"
"Richmond city, Kentucky","34,589","34,733","34,915","36,107","37,206"
"Muskegon city, Michigan","37,229","37,210","37,245","37,156","37,183"
"Oak Creek city, Wisconsin","36,507","36,500","36,330","36,062","37,156"
"Carpentersville village, Illinois","37,987","37,909","37,697","37,292","37,099"
"Wildomar city, California","36,890","36,913","37,138","37,057","37,087"
"Oswego village, Illinois","34,602","34,724","35,349","35,917","37,074"
"North Ridgeville city, Ohio","35,273","35,445","36,172","36,791","37,058"
"Plainfield town, Indiana","34,656","34,905","35,565","36,188","37,047"
"Leavenworth city, Kansas","37,351","37,322","37,197","37,071","37,034"
"Syracuse city, Utah","32,137","32,386","33,398","35,538","37,022"
"Redmond city, Oregon","33,289","33,776","35,626","36,393","37,009"
"La Porte city, Texas","35,124","35,301","36,063","36,580","36,991"
"Tucker city, Georgia","37,116","37,155","37,029","36,923","36,975"
"Farmers Branch city, Texas","35,571","36,218","36,017","36,209","36,917"
"Greenfield city, Wisconsin","37,786","37,749","37,400","37,046","36,916"
"Muskogee city, Oklahoma","36,875","36,798","36,745","36,709","36,873"
"Canton city, Georgia","32,956","33,405","34,630","35,771","36,857"
"Monrovia city, California","37,938","38,003","37,636","37,110","36,768"
"Cookeville city, Tennessee","34,827","34,939","35,535","36,011","36,657"
"La Puente city, California","38,056","37,931","37,289","36,863","36,516"
"San Juan city, Texas","35,317","35,360","35,530","35,787","36,448"
"Richfield city, Minnesota","37,006","36,926","36,537","36,713","36,445"
"Pacifica city, California","38,636","38,514","37,169","36,557","36,426"
"Martinez city, California","37,273","37,195","36,962","36,563","36,395"
"Cibolo city, Texas","32,282","32,830","33,518","34,794","36,374"
"Sahuarita town, Arizona","34,102","34,356","35,239","35,638","36,356"
"Merrillville town, Indiana","36,443","36,457","36,419","36,233","36,347"
"Beloit city, Wisconsin","36,688","36,677","36,616","36,407","36,342"
"Salisbury city, North Carolina","35,555","35,597","35,475","35,934","36,319"
"Cleburne city, Texas","31,285","31,460","32,139","33,850","36,209"
"Hinesville city, Georgia","34,889","35,066","34,975","35,410","36,181"
"Hanover Park village, Illinois","37,467","37,348","36,831","36,353","36,165"
"Rock Island city, Illinois","37,110","37,019","36,589","36,270","36,132"
"Inver Grove Heights city, Minnesota","35,809","35,824","35,623","35,695","36,114"
"Lauderdale Lakes city, Florida","35,959","36,051","35,686","35,790","36,035"
"Seguin city, Texas","29,439","29,470","30,964","33,409","36,013"
"Dunedin city, Florida","36,086","36,066","36,047","36,058","35,930"
"El Mirage city, Arizona","35,800","35,955","35,987","35,979","35,850"
"Norristown borough, Pennsylvania","35,795","35,783","35,925","35,813","35,769"
"Upper Arlington city, Ohio","36,795","36,761","36,349","36,024","35,743"
"Texarkana city, Texas","36,236","36,224","36,114","35,862","35,741"
"Butte-Silver Bow (balance), Montana","34,496","34,573","34,859","35,296","35,701"
"Panama City city, Florida","33,051","32,862","34,178","34,768","35,660"
"Mason city, Ohio","34,801","34,882","35,191","35,516","35,660"
"Claremont city, California","37,263","37,187","36,681","36,017","35,640"
"Fair Lawn borough, New Jersey","34,930","34,865","35,208","35,342","35,564"
"Midvale city, Utah","36,026","36,116","35,877","35,621","35,561"
"Torrington city, Connecticut","35,508","35,365","35,533","35,565","35,550"
"Moorpark city, California","36,290","36,246","36,022","35,656","35,543"
"Marion city, Ohio","36,012","36,013","35,925","35,316","35,531"
"Wenatchee city, Washington","35,559","35,536","35,660","35,500","35,526"
"Franklin city, Wisconsin","36,138","36,144","35,580","35,367","35,485"
"Springville city, Utah","35,262","35,334","36,150","35,849","35,471"
"Forney city, Texas","23,463","23,880","27,302","32,131","35,470"
"Stockbridge city, Georgia","35,686","35,756","35,894","35,657","35,452"
"Roseville city, Minnesota","36,263","36,215","35,932","35,581","35,451"
"Richmond city, Indiana","35,728","35,697","35,624","35,490","35,425"
"Kingman city, Arizona","32,693","32,898","33,903","34,913","35,334"
"Erie town, Colorado","30,057","30,417","31,566","33,139","35,269"
"Garner town, North Carolina","31,217","31,245","31,925","33,599","35,265"
"Mount Vernon city, Washington","35,230","35,306","35,531","35,564","35,259"
"Watertown Town city, Massachusetts","35,337","35,364","35,297","35,210","35,256"
"Bluffton town, South Carolina","27,718","28,338","31,758","34,434","35,243"
"Addison village, Illinois","35,705","35,639","35,391","35,158","35,167"
"Gahanna city, Ohio","35,726","35,705","35,481","35,136","35,159"
"Brunswick city, Ohio","35,412","35,435","35,371","35,205","35,072"
"University Place city, Washington","34,872","34,902","34,940","34,633","35,049"
"Crown Point city, Indiana","33,902","33,998","34,133","34,536","34,884"
"Temple City city, California","36,480","36,383","35,726","35,213","34,854"
"Wildwood city, Missouri","35,418","35,389","35,248","34,969","34,851"
"Lewiston city, Idaho","34,207","34,245","34,496","34,821","34,836"
"Lima city, Ohio","35,579","35,529","35,307","34,970","34,794"
"San Juan Capistrano city, California","35,199","35,159","34,918","34,775","34,754"
"Fairborn city, Ohio","34,531","34,581","34,446","34,706","34,729"
"Kennesaw city, Georgia","33,233","33,364","33,332","33,547","34,683"
"Valparaiso city, Indiana","34,152","34,162","34,475","34,575","34,627"
"Long Beach city, New York","35,045","34,799","34,788","34,654","34,595"
"Del Rio city, Texas","34,693","34,700","34,555","34,560","34,574"
"Manitowoc city, Wisconsin","34,637","34,633","34,649","34,572","34,568"
"Holland city, Michigan","34,374","34,352","34,197","34,026","34,540"
"Dalton city, Georgia","34,457","34,421","34,223","34,366","34,508"
"Randolph Town city, Massachusetts","34,973","34,914","34,711","34,561","34,487"
"Clearfield city, Utah","31,903","31,913","32,236","34,032","34,470"
"Helena city, Montana","32,101","32,244","33,080","33,875","34,464"
"Statesboro city, Georgia","33,434","33,475","33,298","34,354","34,452"
"McMinnville city, Oregon","34,337","34,473","34,750","34,577","34,450"
"Harker Heights city, Texas","33,096","33,242","33,619","34,128","34,447"
"Kearney city, Nebraska","33,798","33,879","33,979","34,257","34,362"
"Calumet City city, Illinois","36,045","35,902","35,227","34,633","34,358"
"Goshen city, Indiana","34,505","34,496","34,437","34,368","34,355"
"West Hollywood city, California","35,761","35,646","35,002","34,591","34,349"
"Cooper City city, Florida","34,400","34,334","34,050","34,107","34,321"
"Englewood city, Colorado","33,642","33,623","33,662","33,662","34,275"
"College Park city, Maryland","34,749","34,698","34,502","34,186","34,187"
"Lufkin city, Texas","34,117","34,071","34,153","34,164","34,181"
"Alabaster city, Alabama","33,334","33,392","33,748","33,869","34,107"
"University City city, Missouri","35,066","35,002","34,735","34,375","34,096"
"Leawood city, Kansas","33,897","33,890","33,805","33,713","33,980"
"Northbrook village, Illinois","35,222","35,105","34,560","34,102","33,977"
"Westlake city, Ohio","34,238","34,198","33,980","33,903","33,972"
"Stow city, Ohio","34,491","34,460","34,383","34,210","33,957"
"Washington city, Utah","27,992","28,636","30,986","32,707","33,877"
"Pleasant Hill city, California","34,628","34,604","34,405","34,034","33,802"
"Eastpointe city, Michigan","34,322","34,234","34,092","33,810","33,676"
"Fort Mill town, South Carolina","24,514","25,188","27,939","30,900","33,626"
"Chester city, Pennsylvania","32,611","32,580","33,574","33,512","33,595"
"Opelika city, Alabama","31,014","31,079","31,594","32,771","33,572"
"Woodridge village, Illinois","34,147","34,110","33,865","33,616","33,566"
"Meridian city, Mississippi","35,050","34,867","34,412","33,907","33,551"
"Rochester city, New Hampshire","32,496","32,517","32,904","33,126","33,519"
"Gillette city, Wyoming","33,412","33,481","32,989","33,278","33,496"
"Dover city, New Hampshire","32,744","32,776","33,271","33,375","33,485"
"Goldsboro city, North Carolina","33,657","33,546","33,256","33,123","33,469"
"Desert Hot Springs city, California","32,500","32,523","32,871","33,098","33,438"
"Oak Ridge city, Tennessee","31,401","31,455","31,852","32,612","33,397"
"Manhattan Beach city, California","35,503","35,383","34,582","33,891","33,369"
"Walla Walla city, Washington","34,188","34,186","33,747","33,491","33,339"
"Petersburg city, Virginia","33,463","33,396","33,411","33,462","33,309"
"Gadsden city, Alabama","33,928","33,880","33,541","33,276","33,229"
"Deer Park city, Texas","34,495","34,357","33,727","33,469","33,176"
"Salisbury city, Maryland","33,041","33,022","33,164","33,165","33,159"
"Cornelius town, North Carolina","31,415","31,517","31,719","32,604","33,139"
"Franklin Town city, Massachusetts","33,272","33,224","32,785","33,062","33,125"
"Sherwood city, Arkansas","32,762","32,806","33,032","33,071","33,118"
"San Dimas city, California","34,912","34,797","34,095","33,527","33,105"
"Andover city, Minnesota","32,596","32,655","32,963","32,946","33,089"
"Savage city, Minnesota","32,458","32,582","33,027","32,900","32,999"
"Elizabethtown city, Kentucky","31,390","31,408","31,943","31,883","32,978"
"Spring Valley village, New York","33,047","32,958","33,087","33,012","32,969"
"Aiken city, South Carolina","32,108","32,139","32,282","32,512","32,947"
"Kaysville city, Utah","32,955","33,022","33,078","32,765","32,941"
"Florence city, Kentucky","31,954","32,060","32,331","32,603","32,917"
"Pullman city, Washington","32,905","32,855","28,171","32,465","32,863"
"Long Branch city, New Jersey","31,660","31,670","32,443","32,424","32,745"
"Ithaca city, New York","32,110","30,177","32,765","32,852","32,724"
"Greenville city, Texas","28,149","28,288","29,580","31,098","32,717"
"Goleta city, California","32,695","32,764","32,738","32,585","32,665"
"New Smyrna Beach city, Florida","30,210","30,413","31,136","32,136","32,655"
"St. Charles city, Illinois","33,076","33,034","33,038","32,747","32,654"
"Dana Point city, California","33,103","33,057","32,815","32,647","32,567"
"Zionsville town, Indiana","30,604","30,837","31,711","32,047","32,534"
"Garfield city, New Jersey","32,649","32,555","32,510","32,368","32,456"
"Massillon city, Ohio","32,046","32,052","32,148","32,249","32,439"
"Maryville city, Tennessee","31,912","32,003","32,303","32,681","32,436"
"Nicholasville city, Kentucky","31,115","31,137","31,530","31,954","32,425"
"Glendale Heights village, Illinois","33,183","33,103","32,810","32,513","32,409"
"Bethel Park municipality, Pennsylvania","33,567","33,515","33,173","32,761","32,398"
"Bella Vista city, Arkansas","30,076","30,209","30,750","31,712","32,368"
"Duluth city, Georgia","31,872","31,872","31,890","32,052","32,350"
"LaGrange city, Georgia","30,866","30,916","31,518","31,808","32,343"
"Eagle city, Idaho","30,408","30,870","32,096","32,423","32,319"
"Sachse city, Texas","27,113","27,086","29,025","30,567","32,294"
"Fitchburg city, Wisconsin","30,990","30,996","31,951","32,119","32,284"
"Brownsburg town, Indiana","29,026","29,181","30,220","31,316","32,250"
"New Bern city, North Carolina","31,287","31,283","31,518","31,516","32,226"
"Los Gatos town, California","33,540","33,415","32,571","32,213","32,216"
"Cottonwood Heights city, Utah","33,612","33,518","32,910","32,478","32,204"
