"GEO_ID","NAME","B19083_001E","B19083_001M",
"Geography","Geographic Area Name","Estimate!!Gini Index","Margin of Error!!Gini Index",
"1600000US0648256","Mission Viejo city, California","0.4219","0.0276",
"1600000US0648354","Modesto city, California","0.4485","0.0224",
"1600000US0649270","Moreno Valley city, California","0.3928","0.0275",
"1600000US0649670","Mountain View city, California","0.4891","0.0252",
"1600000US0650076","Murrieta city, California","0.3887","0.0314",
"1600000US0650258","Napa city, California","0.4391","0.0257",
"1600000US0651182","Newport Beach city, California","0.5635","0.0271",
"1600000US0652526","Norwalk city, California","0.3896","0.0305",
"1600000US0653000","Oakland city, California","0.5264","0.0137",
"1600000US0653322","Oceanside city, California","0.4291","0.0250",
"1600000US0653896","Ontario city, California","0.4151","0.0353",
"1600000US0653980","Orange city, California","0.4344","0.0249",
"1600000US0654652","Oxnard city, California","0.4086","0.0216",
"1600000US0655156","Palmdale city, California","0.4236","0.0235",
"1600000US0655282","Palo Alto city, California","0.5283","0.0272",
"1600000US0656000","Pasadena city, California","0.5349","0.0302",
"1600000US0656700","Perris city, California","0.3525","0.0282",
"1600000US0657456","Pittsburg city, California","0.4226","0.0402",
"1600000US0657792","Pleasanton city, California","0.4292","0.0351",
"1600000US0658072","Pomona city, California","0.4024","0.0174",
"1600000US0659444","Rancho Cordova city, California","0.4146","0.0353",
"1600000US0659451","Rancho Cucamonga city, California","0.4089","0.0238",
"1600000US0659920","Redding city, California","0.4373","0.0261",
"1600000US0659962","Redlands city, California","0.4780","0.0564",
"1600000US0660018","Redondo Beach city, California","0.4334","0.0318",
"1600000US0660102","Redwood City city, California","0.4970","0.0318",
"1600000US0660466","Rialto city, California","0.3886","0.0281",
"1600000US0660620","Richmond city, California","0.4605","0.0281",
"1600000US0662000","Riverside city, California","0.4198","0.0165",
"1600000US0662364","Rocklin city, California","0.4473","0.0366",
"1600000US0662938","Roseville city, California","0.4140","0.0251",
"1600000US0664000","Sacramento city, California","0.4561","0.0142",
"1600000US0664224","Salinas city, California","0.4112","0.0228",
"1600000US0665000","San Bernardino city, California","0.4212","0.0299",
"1600000US0665042","San Buenaventura (Ventura) city, California","0.4354","0.0261",
"1600000US0666000","San Diego city, California","0.4670","0.0091",
"1600000US0667000","San Francisco city, California","0.5203","0.0113",
"1600000US0668000","San Jose city, California","0.4702","0.0095",
"1600000US0668084","San Leandro city, California","0.4733","0.0535",
"1600000US0668196","San Marcos city, California","0.4476","0.0300",
"1600000US0668252","San Mateo city, California","0.4689","0.0231",
"1600000US0668378","San Ramon city, California","0.4036","0.0379",
"1600000US0669000","Santa Ana city, California","0.4160","0.0178",
"1600000US0669070","Santa Barbara city, California","0.4928","0.0292",
"1600000US0669084","Santa Clara city, California","0.4501","0.0251",
"1600000US0669088","Santa Clarita city, California","0.4093","0.0157",
"1600000US0669196","Santa Maria city, California","0.4267","0.0385",
"1600000US0670000","Santa Monica city, California","0.5654","0.0409",
"1600000US0670098","Santa Rosa city, California","0.4772","0.0271",
"1600000US0672016","Simi Valley city, California","0.4953","0.0952",
"1600000US0673080","South Gate city, California","0.4500","0.0738",
"1600000US0675000","Stockton city, California","0.4548","0.0262",
"1600000US0677000","Sunnyvale city, California","0.4769","0.0179",
"1600000US0678120","Temecula city, California","0.3644","0.0265",
"1600000US0678582","Thousand Oaks city, California","0.4521","0.0211",
"1600000US0680000","Torrance city, California","0.4188","0.0206",
"1600000US0680238","Tracy city, California","0.4090","0.0353",
"1600000US0680644","Tulare city, California","0.4739","0.0427",
"1600000US0680812","Turlock city, California","0.4557","0.0356",
"1600000US0680854","Tustin city, California","0.4536","0.0374",
"1600000US0681204","Union City city, California","0.4034","0.0263",
"1600000US0681344","Upland city, California","0.4435","0.0490",
"1600000US0681554","Vacaville city, California","0.3945","0.0260",
"1600000US0681666","Vallejo city, California","0.4178","0.0251",
"1600000US0682590","Victorville city, California","0.4012","0.0262",
"1600000US0682954","Visalia city, California","0.4108","0.0232",
"1600000US0682996","Vista city, California","0.4353","0.0384",
"1600000US0683346","Walnut Creek city, California","0.5097","0.0243",
"1600000US0684200","West Covina city, California","0.4321","0.0257",
"1600000US0684550","Westminster city, California","0.4121","0.0293",
"1600000US0685292","Whittier city, California","0.4119","0.0280",
"1600000US0686832","Yorba Linda city, California","0.4309","0.0317",
"1600000US0686972","Yuba City city, California","0.4360","0.0324",
"1600000US0803455","Arvada city, Colorado","0.3992","0.0208",
"1600000US0804000","Aurora city, Colorado","0.4263","0.0162",
"1600000US0807850","Boulder city, Colorado","0.5484","0.0252",
"1600000US0809280","Broomfield city, Colorado","0.3992","0.0244",
"1600000US0812415","Castle Rock town, Colorado","0.4119","0.0399",
"1600000US0812815","Centennial city, Colorado","0.4025","0.0202",
"1600000US0816000","Colorado Springs city, Colorado","0.4284","0.0145",
"1600000US0816495","Commerce City city, Colorado","0.3690","0.0456",
"1600000US0820000","Denver city, Colorado","0.4947","0.0113",
"1600000US0827425","Fort Collins city, Colorado","0.4683","0.0201",
"1600000US0831660","Grand Junction city, Colorado","0.4434","0.0294",
"1600000US0832155","Greeley city, Colorado","0.4366","0.0407",
"1600000US0836410","Highlands Ranch CDP, Colorado","0.3774","0.0215",
"1600000US0843000","Lakewood city, Colorado","0.4367","0.0240",
"1600000US0845970","Longmont city, Colorado","0.4384","0.0442",
"1600000US0846465","Loveland city, Colorado","0.3784","0.0319",
"1600000US0862000","Pueblo city, Colorado","0.4914","0.0593",
"1600000US0877290","Thornton city, Colorado","0.3487","0.0195",
"1600000US0883835","Westminster city, Colorado","0.4043","0.0284",
"1600000US0908000","Bridgeport city, Connecticut","0.5076","0.0452",
"1600000US0918430","Danbury city, Connecticut","0.4445","0.0370",
"1600000US0937000","Hartford city, Connecticut","0.5226","0.0330",
"1600000US0950370","New Britain city, Connecticut","0.4883","0.0454",
"1600000US0952000","New Haven city, Connecticut","0.5464","0.0333",
